"","Source","Target","edgelist2$f_tot"
"352",1,119,2
"353",1,73,16
"354",1,163,4
"355",1,81,86
"356",1,46,56
"357",1,45,54
"358",3,16,2
"359",13,18,6
"360",0,58,12
"361",6,28,2
"362",8,82,8
"363",8,93,4
"364",5,164,4
"365",6,64,3
"366",10,81,6
"367",0,64,3
"368",1,56,2
"369",1,175,2
"370",1,126,6
"371",4,42,2
"372",9,152,6
"373",2,131,4
"374",10,155,6
"375",7,171,12
"376",4,28,2
"377",5,159,10
"378",10,62,2
"379",2,167,12
"380",10,32,2
"381",1,80,28
"382",2,8,6
"383",2,233,8
"384",10,21,2
"385",10,76,6
"386",1,78,2
"387",1,154,2
"388",1,112,2
"389",1,233,1
"390",1,155,6
"391",0,164,7
"392",10,202,4
"393",10,63,2
"394",3,28,2
"395",3,66,1
"396",0,85,9
"397",2,23,2
"398",1,209,2
"399",10,66,1
"400",10,50,2
"401",1,218,4
"402",14,36,6
"403",1,117,2
"404",1,48,12
"405",7,20,2
"406",3,129,2
"407",2,28,2
"408",2,73,6
"409",6,217,2
"410",4,70,2
"411",2,45,8
"412",13,40,4
"413",10,41,2
"414",10,92,2
"415",10,145,2
"416",10,29,6
"417",10,28,2
"418",10,112,2
"419",10,216,4
"420",2,26,3
"421",1,147,2
"422",2,39,4
"423",10,24,2
"424",4,102,2
"425",6,24,2
"426",0,125,2
"427",15,0,8
"428",16,1,884
"429",17,1,1054
"430",18,1,3146
"431",17,2,856
"432",19,0,116
"433",20,2,2063
"434",21,0,462
"435",21,2,1198
"436",18,11,60
"437",22,1,212
"438",23,1,786
"439",18,0,1264
"440",24,1,14
"441",25,1,48
"442",26,1,798
"443",27,1,1102
"444",28,10,206
"445",28,0,450
"446",29,2,142
"447",29,1,666
"448",30,1,3474
"449",31,10,4
"450",31,2,24
"451",32,1,1198
"452",30,2,916
"453",33,1,146
"454",34,2,14
"455",18,2,1070
"456",20,1,1130
"457",35,1,866
"458",15,1,356
"459",36,6,230
"460",35,0,46
"461",18,13,16
"462",37,2,122
"463",15,2,204
"464",38,1,2
"465",39,1,46
"466",40,2,434
"467",41,2,10
"468",42,2,858
"469",43,0,82
"470",43,2,596
"471",21,1,1986
"472",39,0,126
"473",44,1,18
"474",45,1,456
"475",46,3,26
"476",18,3,230
"477",47,0,26
"478",48,8,6
"479",49,1,662
"480",32,2,198
"481",50,0,262
"482",51,0,70
"483",52,1,110
"484",17,0,136
"485",53,2,202
"486",23,0,248
"487",54,1,58
"488",55,1,2
"489",56,2,2
"490",28,14,438
"491",28,1,1505
"492",18,8,480
"493",28,7,294
"494",50,14,274
"495",23,3,18
"496",40,1,146
"497",28,4,129
"498",57,1,120
"499",36,1,1574
"500",32,0,188
"501",58,2,1026
"502",59,1,176
"503",60,1,16
"504",61,2,70
"505",20,14,176
"506",23,14,40
"507",36,14,322
"508",20,3,79
"509",20,6,90
"510",20,10,189
"511",20,9,4
"512",20,0,338
"513",36,0,392
"514",62,2,248
"515",63,2,10
"516",62,1,484
"517",20,8,455
"518",20,7,63
"519",36,7,190
"520",36,13,12
"521",36,10,740
"522",64,2,44
"523",20,13,4
"524",47,2,46
"525",47,1,32
"526",65,1,564
"527",66,1,186
"528",67,1,112
"529",68,1,4
"530",69,2,64
"531",43,1,290
"532",70,2,110
"533",71,1,50
"534",46,2,72
"535",72,2,134
"536",72,1,44
"537",73,2,62
"538",74,1,12
"539",53,1,64
"540",75,1,34
"541",76,2,22
"542",77,3,6
"543",51,2,32
"544",66,0,36
"545",77,2,158
"546",78,0,186
"547",17,14,44
"548",79,2,2
"549",80,1,16
"550",81,1,6
"551",82,1,22
"552",83,10,6
"553",35,6,6
"554",84,1,4
"555",85,1,478
"556",58,1,561
"557",42,4,246
"558",50,1,252
"559",86,0,50
"560",86,2,382
"561",31,1,34
"562",87,1,42
"563",59,2,2
"564",53,6,2
"565",42,0,96
"566",42,1,192
"567",30,8,174
"568",30,4,38
"569",57,6,48
"570",37,1,18
"571",81,2,76
"572",71,2,38
"573",88,1,332
"574",30,3,310
"575",70,0,132
"576",77,0,110
"577",30,0,360
"578",27,2,56
"579",69,1,146
"580",88,2,60
"581",26,2,12
"582",89,2,4
"583",21,4,244
"584",90,3,2
"585",87,4,70
"586",40,10,358
"587",91,10,2
"588",92,2,14
"589",70,7,2
"590",93,7,2
"591",70,1,126
"592",94,2,12
"593",50,4,10
"594",95,3,6
"595",95,11,10
"596",96,1,186
"597",33,2,48
"598",45,2,30
"599",25,2,2
"600",97,2,26
"601",53,14,2
"602",98,2,40
"603",99,1,14
"604",100,3,2
"605",58,0,300
"606",101,2,24
"607",102,7,26
"608",103,2,28
"609",104,2,42
"610",54,2,58
"611",77,8,4
"612",105,1,132
"613",17,6,2
"614",99,2,18
"615",106,2,8
"616",107,1,146
"617",108,2,6
"618",109,2,8
"619",110,13,16
"620",111,2,18
"621",87,0,192
