,Country,bet,clo,eig
0,BE,0.000295020145969,0.346397318935,0.0829926503451
1,FR,0.00186463725307,0.36014324429,0.245217922595
2,BG,0.0,0.0,0.0103701711306
3,DK,0.0,0.260793383796,0.00581767752966
4,AN,0.0,0.0,0.0
5,BM,0.0,0.330127104088,0.0
6,DE,0.0108575539018,0.36014324429,0.147864931128
7,JP,0.00571411842866,0.354516006098,0.0679847493205
8,HU,0.00180668473351,0.33613369467,0.0064732873792
9,HK,0.0172465503315,0.381328141013,0.110074725201
10,ZA,0.0131138784933,0.246619830329,0.11012695163
11,BW,0.0,0.0,0.00529666042207
12,BR,0.0,0.0,0.0311105133918
13,FI,0.0,0.264847733223,0.0
14,JE,0.00903342366757,0.193098079917,0.0037270464025
15,MA,0.0,0.0121951219512,0.0
16,CN,0.0023313043977,0.375025196533,0.0833737170123
17,RU,0.000414031918097,0.338642155078,0.00908608757645
18,NL,7.16938386315e-05,0.33613369467,0.0749270012502
19,PT,0.0,0.0,0.0121413969511
20,NO,0.00243776974807,0.338642155078,0.00143044604064
21,IE,0.0,0.0,0.0122528844723
22,TW,0.000518585432768,0.346397318935,0.0110257809801
23,TR,0.0,0.246726572529,0.0
24,LK,0.0,0.235119423733,0.0268976753921
25,NG,0.0,0.0121951219512,0.0311105133918
26,NZ,0.0199527537603,0.338642155078,0.144742336973
27,MT,0.0,0.264847733223,0.0
28,ES,0.0,0.324128919861,0.0703305917639
29,TH,0.0,0.33613369467,0.0311105133918
30,PE,0.0,0.260433604336,0.0
31,TG,0.0,0.0,0.0103701711306
32,PH,0.0,0.33613369467,0.0933315401754
33,RO,0.0,0.0121951219512,0.0103701711306
34,AE,0.0334487604135,0.343773096822,1.36571664876e-05
35,EG,0.0,0.326460782593,0.0103701711306
36,PL,0.00843119542307,0.263825865003,0.0229003528418
37,ZM,0.0,0.0,0.0103701711306
38,CI,0.0,0.0,0.0103701711306
39,CH,0.0862332893611,0.398053059478,0.279405854434
40,CO,0.0,0.0,0.0103701711306
41,GR,0.00848138111011,0.268509164382,0.0207493377439
42,CM,0.0,0.0,0.0103701711306
43,CL,0.0,0.266352549889,0.0
44,IQ,0.0,0.241639426704,0.0
45,BH,0.0,0.0,2.84341674911e-07
46,IS,8.78249523236e-05,0.254932858317,0.000215913048817
47,CF,0.0,0.0,0.0103701711306
48,VN,0.0,0.271724842997,0.0445593510878
49,IT,0.0101678591742,0.357307470713,0.144263886733
50,GG,0.0027451570812,0.154873886623,0.0485543807601
51,CZ,0.0,0.28239788422,0.0
52,XX,0.0325504366155,0.259303135889,0.0434833942297
53,AR,0.0,0.0,0.0461082884981
54,AU,0.0282673272059,0.354516006098,0.090421185213
55,IL,0.0,0.324128919861,0.0438653977721
56,PK,0.0,0.0121951219512,0.0
57,LB,0.0,0.245434810369,0.0
58,ZW,0.0,0.0,0.0856448410364
59,CA,0.0652360161168,0.384559735428,0.473058636093
60,ID,0.0,0.326460782593,0.0207403422612
61,CU,0.0,0.0,0.0
62,GH,0.0,0.0,0.00188271334171
63,OM,0.0,0.239173718268,0.0
64,UY,0.0,0.0,0.0311105133918
65,KE,0.0,0.268902439024,0.0
66,MC,0.0,0.0,0.0278232037196
67,AO,0.0,0.0,0.0103701711306
68,SG,0.00357447555957,0.357847700614,0.0
69,MO,0.0,0.350742311771,0.0
70,US,0.357358775087,0.567225609756,0.498044829644
71,GB,0.0329759992926,0.378150406504,0.464736523115
72,QA,0.00228721268694,0.341188336695,0.000432013382961
73,KR,0.0469728471535,0.354516006098,0.0314885148633
74,KP,0.0,0.19212315074,0.0
75,KW,0.0258456288267,0.249329938354,0.000655894191213
76,IN,0.0,0.326460782593,0.0207403422612
77,IM,0.0,0.190561173904,0.0
78,TZ,0.0,0.0,0.0207403422612
79,UA,0.0,0.19948105864,0.0
80,MX,0.0,0.26787456446,0.0
81,SE,0.00843119542307,0.343773096822,0.0103701711306
82,AT,0.0,0.33613369467,0.110339352724
