,Country,Total imports,Total exports,Net imports,2011_net_import_counts,2011_import_counts,2011_export_counts
0,BE,4.0,6.0,-2.0,-2.0,4.0,6.0
1,BF,0.0,1.0,-1.0,-1.0,0.0,1.0
2,BO,0.0,1.0,-1.0,-1.0,0.0,1.0
3,JP,15.0,12.0,3.0,3.0,15.0,12.0
4,BT,2.0,0.0,2.0,2.0,2.0,0.0
5,BW,0.0,3.0,-3.0,-3.0,0.0,3.0
6,BR,3.0,2.0,1.0,1.0,3.0,2.0
7,BY,1.0,0.0,1.0,1.0,1.0,0.0
8,RU,5.0,4.0,1.0,1.0,5.0,4.0
9,RS,0.0,1.0,-1.0,-1.0,0.0,1.0
10,RO,3.0,0.0,3.0,3.0,3.0,0.0
11,GR,5.0,2.0,3.0,3.0,5.0,2.0
12,GE,0.0,1.0,-1.0,-1.0,0.0,1.0
13,GB,43.0,62.0,-19.0,-19.0,43.0,62.0
14,GH,1.0,1.0,0.0,0.0,1.0,1.0
15,OM,3.0,1.0,2.0,2.0,3.0,1.0
16,HT,0.0,1.0,-1.0,-1.0,0.0,1.0
17,HU,2.0,0.0,2.0,2.0,2.0,0.0
18,HK,51.0,8.0,43.0,43.0,51.0,8.0
19,PW,0.0,1.0,-1.0,-1.0,0.0,1.0
20,PT,6.0,8.0,-2.0,-2.0,6.0,8.0
21,PY,1.0,0.0,1.0,1.0,1.0,0.0
22,PA,1.0,0.0,1.0,1.0,1.0,0.0
23,PK,3.0,0.0,3.0,3.0,3.0,0.0
24,PH,0.0,1.0,-1.0,-1.0,0.0,1.0
25,PL,4.0,3.0,1.0,1.0,4.0,3.0
26,ZM,3.0,0.0,3.0,3.0,3.0,0.0
27,EG,1.0,0.0,1.0,1.0,1.0,0.0
28,ZA,3.0,23.0,-20.0,-20.0,3.0,23.0
29,ZW,0.0,35.0,-35.0,-35.0,0.0,35.0
30,ES,5.0,6.0,-1.0,-1.0,5.0,6.0
31,MA,2.0,0.0,2.0,2.0,2.0,0.0
32,MC,1.0,8.0,-7.0,-7.0,1.0,8.0
33,MO,3.0,0.0,3.0,3.0,3.0,0.0
34,US,197.0,117.0,80.0,80.0,197.0,117.0
35,MT,2.0,0.0,2.0,2.0,2.0,0.0
36,MW,4.0,1.0,3.0,3.0,4.0,1.0
37,MX,1.0,2.0,-1.0,-1.0,1.0,2.0
38,AT,4.0,20.0,-16.0,-16.0,4.0,20.0
39,FR,24.0,33.0,-9.0,-9.0,24.0,33.0
40,NL,4.0,15.0,-11.0,-11.0,4.0,15.0
41,NO,4.0,1.0,3.0,3.0,4.0,1.0
42,NC,1.0,0.0,1.0,1.0,1.0,0.0
43,NG,0.0,3.0,-3.0,-3.0,0.0,3.0
44,NZ,4.0,21.0,-17.0,-17.0,4.0,21.0
45,CI,0.0,7.0,-7.0,-7.0,0.0,7.0
46,CH,64.0,70.0,-6.0,-6.0,64.0,70.0
47,CO,0.0,1.0,-1.0,-1.0,0.0,1.0
48,CN,43.0,7.0,36.0,36.0,43.0,7.0
49,CM,0.0,1.0,-1.0,-1.0,0.0,1.0
50,CA,30.0,38.0,-8.0,-8.0,30.0,38.0
51,CZ,1.0,0.0,1.0,1.0,1.0,0.0
52,XX,3.0,2.0,1.0,1.0,3.0,2.0
53,UY,0.0,1.0,-1.0,-1.0,0.0,1.0
54,XV,2.0,0.0,2.0,2.0,2.0,0.0
55,KE,0.0,8.0,-8.0,-8.0,0.0,8.0
56,SU,0.0,1.0,-1.0,-1.0,0.0,1.0
57,SK,1.0,0.0,1.0,1.0,1.0,0.0
58,KR,9.0,7.0,2.0,2.0,9.0,7.0
59,KW,0.0,3.0,-3.0,-3.0,0.0,3.0
60,SA,1.0,0.0,1.0,1.0,1.0,0.0
61,SG,16.0,3.0,13.0,13.0,16.0,3.0
62,SE,1.0,0.0,1.0,1.0,1.0,0.0
63,SD,0.0,1.0,-1.0,-1.0,0.0,1.0
64,DJ,1.0,0.0,1.0,1.0,1.0,0.0
65,DK,1.0,8.0,-7.0,-7.0,1.0,8.0
66,DE,25.0,39.0,-14.0,-14.0,25.0,39.0
67,LB,1.0,0.0,1.0,1.0,1.0,0.0
68,LA,0.0,1.0,-1.0,-1.0,0.0,1.0
69,TW,7.0,0.0,7.0,7.0,7.0,0.0
70,TR,2.0,5.0,-3.0,-3.0,2.0,5.0
71,LV,0.0,1.0,-1.0,-1.0,0.0,1.0
72,LU,1.0,0.0,1.0,1.0,1.0,0.0
73,LS,1.0,0.0,1.0,1.0,1.0,0.0
74,TH,4.0,3.0,1.0,1.0,4.0,3.0
75,TG,0.0,1.0,-1.0,-1.0,0.0,1.0
76,AE,3.0,10.0,-7.0,-7.0,3.0,10.0
77,VE,0.0,1.0,-1.0,-1.0,0.0,1.0
78,IQ,1.0,0.0,1.0,1.0,1.0,0.0
79,IR,2.0,0.0,2.0,2.0,2.0,0.0
80,IT,11.0,15.0,-4.0,-4.0,11.0,15.0
81,VN,1.0,5.0,-4.0,-4.0,1.0,5.0
82,AR,0.0,5.0,-5.0,-5.0,0.0,5.0
83,AU,24.0,19.0,5.0,5.0,24.0,19.0
84,IL,2.0,4.0,-2.0,-2.0,2.0,4.0
85,IN,1.0,1.0,0.0,0.0,1.0,1.0
86,TZ,1.0,0.0,1.0,1.0,1.0,0.0
87,IE,0.0,3.0,-3.0,-3.0,0.0,3.0
88,ID,3.0,5.0,-2.0,-2.0,3.0,5.0
89,CY,1.0,0.0,1.0,1.0,1.0,0.0
