,Country,Total imports,Total exports,Net imports,2012_net_import_counts,2012_import_counts,2012_export_counts
64,KZ,1.0,0.0,1.0,1.0,1.0,0.0
65,SA,4.0,1.0,3.0,3.0,4.0,1.0
66,SG,13.0,3.0,10.0,10.0,13.0,3.0
67,SE,1.0,0.0,1.0,1.0,1.0,0.0
68,SD,1.0,1.0,0.0,0.0,1.0,1.0
69,DK,2.0,5.0,-3.0,-3.0,2.0,5.0
70,DE,17.0,30.0,-13.0,-13.0,17.0,30.0
71,YE,1.0,0.0,1.0,1.0,1.0,0.0
72,LB,3.0,2.0,1.0,1.0,3.0,2.0
73,LA,1.0,0.0,1.0,1.0,1.0,0.0
74,TW,8.0,2.0,6.0,6.0,8.0,2.0
75,TR,8.0,2.0,6.0,6.0,8.0,2.0
76,LK,1.0,0.0,1.0,1.0,1.0,0.0
77,LI,1.0,2.0,-1.0,-1.0,1.0,2.0
78,TN,0.0,1.0,-1.0,-1.0,0.0,1.0
79,TH,4.0,3.0,1.0,1.0,4.0,3.0
80,TC,0.0,1.0,-1.0,-1.0,0.0,1.0
81,AE,5.0,9.0,-4.0,-4.0,5.0,9.0
82,IR,2.0,0.0,2.0,2.0,2.0,0.0
83,IT,18.0,15.0,3.0,3.0,18.0,15.0
84,VN,1.0,4.0,-3.0,-3.0,1.0,4.0
85,AR,0.0,5.0,-5.0,-5.0,0.0,5.0
86,AU,12.0,47.0,-35.0,-35.0,12.0,47.0
87,IL,2.0,6.0,-4.0,-4.0,2.0,6.0
88,IN,1.0,0.0,1.0,1.0,1.0,0.0
89,TZ,1.0,1.0,0.0,0.0,1.0,1.0
90,IE,0.0,2.0,-2.0,-2.0,0.0,2.0
91,ID,3.0,4.0,-1.0,-1.0,3.0,4.0
92,MY,2.0,0.0,2.0,2.0,2.0,0.0
93,CY,1.0,0.0,1.0,1.0,1.0,0.0
94,QA,6.0,3.0,3.0,3.0,6.0,3.0
