,Country,Total imports,Total exports,Net imports,2012_net_import_counts,2012_import_counts,2012_export_counts
0,BE,2.0,12.0,-10.0,-10.0,2.0,12.0
1,BG,1.0,0.0,1.0,1.0,1.0,0.0
2,BO,0.0,1.0,-1.0,-1.0,0.0,1.0
3,JP,12.0,10.0,2.0,2.0,12.0,10.0
4,BI,0.0,1.0,-1.0,-1.0,0.0,1.0
5,JO,1.0,1.0,0.0,0.0,1.0,1.0
6,BR,0.0,6.0,-6.0,-6.0,0.0,6.0
7,BY,0.0,1.0,-1.0,-1.0,0.0,1.0
8,RU,6.0,3.0,3.0,3.0,6.0,3.0
9,RO,2.0,0.0,2.0,2.0,2.0,0.0
10,GR,2.0,4.0,-2.0,-2.0,2.0,4.0
11,GG,1.0,0.0,1.0,1.0,1.0,0.0
12,GE,0.0,2.0,-2.0,-2.0,0.0,2.0
13,GB,55.0,75.0,-20.0,-20.0,55.0,75.0
14,GH,0.0,1.0,-1.0,-1.0,0.0,1.0
15,HU,3.0,1.0,2.0,2.0,3.0,1.0
16,HK,51.0,18.0,33.0,33.0,51.0,18.0
17,PT,3.0,9.0,-6.0,-6.0,3.0,9.0
18,PA,0.0,2.0,-2.0,-2.0,0.0,2.0
19,PE,0.0,1.0,-1.0,-1.0,0.0,1.0
20,PK,2.0,0.0,2.0,2.0,2.0,0.0
21,AT,11.0,14.0,-3.0,-3.0,11.0,14.0
22,PL,3.0,1.0,2.0,2.0,3.0,1.0
23,ZM,1.0,1.0,0.0,0.0,1.0,1.0
24,EG,0.0,1.0,-1.0,-1.0,0.0,1.0
25,ZA,3.0,15.0,-12.0,-12.0,3.0,15.0
26,AL,1.0,0.0,1.0,1.0,1.0,0.0
27,ET,1.0,1.0,0.0,0.0,1.0,1.0
28,ZW,1.0,48.0,-47.0,-47.0,1.0,48.0
29,ES,5.0,4.0,1.0,1.0,5.0,4.0
30,UY,0.0,4.0,-4.0,-4.0,0.0,4.0
31,MC,2.0,0.0,2.0,2.0,2.0,0.0
32,MO,4.0,0.0,4.0,4.0,4.0,0.0
33,US,222.0,130.0,92.0,92.0,222.0,130.0
34,MU,1.0,0.0,1.0,1.0,1.0,0.0
35,MT,0.0,1.0,-1.0,-1.0,0.0,1.0
36,MW,0.0,1.0,-1.0,-1.0,0.0,1.0
37,UG,0.0,2.0,-2.0,-2.0,0.0,2.0
38,UA,4.0,0.0,4.0,4.0,4.0,0.0
39,MX,2.0,4.0,-2.0,-2.0,2.0,4.0
40,MZ,1.0,1.0,0.0,0.0,1.0,1.0
41,FR,24.0,42.0,-18.0,-18.0,24.0,42.0
42,NL,1.0,9.0,-8.0,-8.0,1.0,9.0
43,NO,4.0,2.0,2.0,2.0,4.0,2.0
44,NA,1.0,2.0,-1.0,-1.0,1.0,2.0
45,NG,1.0,2.0,-1.0,-1.0,1.0,2.0
46,NZ,11.0,8.0,3.0,3.0,11.0,8.0
47,CI,0.0,1.0,-1.0,-1.0,0.0,1.0
48,CH,69.0,59.0,10.0,10.0,69.0,59.0
49,CO,3.0,0.0,3.0,3.0,3.0,0.0
50,CN,37.0,5.0,32.0,32.0,37.0,5.0
51,CL,0.0,2.0,-2.0,-2.0,0.0,2.0
52,CA,33.0,50.0,-17.0,-17.0,33.0,50.0
53,CF,0.0,1.0,-1.0,-1.0,0.0,1.0
54,CZ,3.0,1.0,2.0,2.0,3.0,1.0
55,XX,3.0,4.0,-1.0,-1.0,3.0,4.0
56,XV,0.0,1.0,-1.0,-1.0,0.0,1.0
57,SY,0.0,1.0,-1.0,-1.0,0.0,1.0
58,KE,0.0,1.0,-1.0,-1.0,0.0,1.0
59,SK,2.0,0.0,2.0,2.0,2.0,0.0
60,KR,1.0,3.0,-2.0,-2.0,1.0,3.0
61,KP,2.0,0.0,2.0,2.0,2.0,0.0
62,KW,2.0,1.0,1.0,1.0,2.0,1.0
63,SN,1.0,1.0,0.0,0.0,1.0,1.0
