,Country,bet,clo,eig
0,BD,4.74694790374e-05,0.325691806837,0.00133450497474
1,BE,0.00356173219966,0.421228070175,0.0976073299926
2,BF,0.0,0.0,0.00117860309209
3,BG,0.0,0.324021592443,0.00396258808268
4,BA,0.0,0.38526957638,0.000964851357789
5,BB,0.0,0.0,0.000964851357789
6,BM,1.97394250289e-05,0.398638552217,7.79906531055e-05
7,BO,0.0,0.0,0.00192970271558
8,JP,0.00853273738126,0.476861966236,0.141473809803
9,BI,0.0,0.0,0.00582351537924
10,BJ,0.0,0.309404751815,0.0
11,BT,0.0,0.29858640385,0.0
12,JO,5.50395596835e-05,0.401169590643,0.00172133207913
13,BR,0.000938206040265,0.426920341394,0.0192507126237
14,BS,0.0,0.0,0.00422680323739
15,JE,7.08854570676e-05,0.315921052632,0.0218337967049
16,BY,0.0,0.300877192982,0.00203288536711
17,RU,0.0046129102611,0.456203686111,0.0412855955047
18,RW,0.0,0.0,0.00192970271558
19,RS,0.0,0.0,0.00116957187048
20,RE,0.0,0.28152432363,0.0
21,TJ,8.74827145567e-06,0.28081871345,0.00051135060472
22,RO,0.0,0.390025990903,0.00270979097897
23,GW,0.0,0.0,0.00010516719804
24,GU,0.0,0.308659198196,0.0
25,GT,1.3015307133e-05,0.309726522188,7.41779532519e-05
26,GR,0.00129487194761,0.406329328144,0.0194185847031
27,BH,0.0,0.407640067912,6.27818859989e-05
28,GG,8.41385676507e-05,0.326533387733,0.0195231079998
29,GF,0.0,0.0,0.000964851357789
30,GE,5.15995872033e-05,0.296639486039,0.00360726638607
31,GB,0.0781724833071,0.473289966489,0.508769163257
32,GA,6.25919679326e-05,0.306719468574,0.00411915489109
33,GN,0.0,0.0,0.000981803910991
34,GM,0.0,0.00584795321637,0.00066725248737
35,GL,7.67378476357e-05,0.388825910931,0.00178763604325
36,GI,4.43797147703e-05,0.308215661104,0.00213606801864
37,GH,0.000593871494577,0.390025990903,0.013874616061
38,OM,6.83084907018e-05,0.335194750803,0.00153898384851
39,TN,5.65684363414e-05,0.390025990903,0.00297274373185
40,BW,0.0,0.207501512402,0.00725080286138
41,HR,0.00509115927073,0.309404751815,0.0
42,HT,0.0,0.0,0.000964851357789
43,HU,0.000573712488598,0.403732974609,0.00213568426922
44,HK,0.0129457699687,0.468031189084,0.0975197969221
45,HN,0.0,0.0,0.000964851357789
46,AD,0.0,0.324287512029,0.0
47,PW,0.0,0.0,0.000964851357789
48,PT,0.0134573830903,0.422636859708,0.0500980572309
49,PY,0.0,0.388162325004,0.0
50,PA,0.0,0.319920053298,0.00385940543115
51,PF,0.0,0.327605031334,0.0
52,PG,0.0,0.315501397171,0.0
