,Country,bet,clo,eig
0,BD,0.0,0.0,0.0110121831601
1,BE,0.008525160103,0.334594451082,0.117090286911
2,BF,0.0,0.0,0.00550609158004
3,BG,0.0,0.267990074442,0.0
4,JP,0.0454467112662,0.404509709517,0.158822224003
5,BI,0.0,0.0,0.0170601335677
6,BR,0.000546956522449,0.33877688172,0.022524238982
7,JE,0.0,0.0,0.0579425605411
8,RU,0.00883069278378,0.395651832666,0.0693135537492
9,GR,0.0,0.331797235023,0.0
10,GG,0.0,0.267016261455,0.00965709342352
11,GF,0.0,0.0,0.00853006678385
12,GB,0.111312165016,0.407551135904,0.515097914845
13,GA,0.0,0.0,0.0110121831601
14,GN,0.0,0.0,0.00219521182115
15,GL,0.0,0.237199725463,0.0
16,GH,0.0,0.0,0.00853006678385
17,OM,0.0,0.0,0.00853006678385
18,IL,0.0,0.336672677486,0.0437773605589
19,HU,0.000116877045348,0.268338124135,0.00292711095106
20,HK,0.00163140875799,0.3844276672,0.0778976276943
21,PT,0.00236542691607,0.326531934188,0.0971496581759
22,PA,0.0,0.223863194714,0.0
23,PE,0.0,0.0,0.00965709342352
24,PH,0.0,0.0,0.0170601335677
25,PL,0.0,0.263127675123,0.0228446188549
26,ZM,0.0,0.0,0.00853006678385
27,EG,0.0,0.329833937774,0.0
28,ZA,0.0188722397906,0.306238989126,0.126861535555
29,ZW,0.0,0.0,0.0346305459386
30,ES,0.000534990761148,0.340907553933,0.00292711095106
31,MA,0.0,0.010752688172,0.0
32,MC,0.0,0.264411224757,0.0140361583639
33,MO,0.0,0.271911880409,0.0
34,US,0.240748927549,0.55880722758,0.45496101243
35,MU,0.0,0.267990074442,0.0
36,MT,0.0,0.270591919825,0.0
37,MW,0.0,0.0,0.00338029229014
38,MQ,0.0,0.010752688172,0.0
39,UA,0.0,0.271911880409,0.0
40,MX,0.00153090377494,0.356607243916,0.0706043437242
41,AT,0.0018019008289,0.336672677486,0.0972233263548
42,FR,0.0754623018847,0.389959000542,0.293687275734
43,FI,0.0,0.264411224757,0.0170601335677
44,NL,0.000308193637436,0.336672677486,0.0606412113231
45,NO,0.000737252981292,0.010752688172,0.0147491537293
46,NA,0.0,0.0,0.00853006678385
47,NC,0.00712949976625,0.010752688172,0.0110121831601
48,NG,0.0,0.0,0.0274129463105
49,NZ,0.00224379006259,0.373822766036,0.0998260739973
50,CI,0.0,0.0,0.00853006678385
51,CH,0.0833673292682,0.398561037318,0.331376790656
52,CN,0.0033813764386,0.347463468431,0.0534344539825
53,CM,0.0,0.010752688172,0.0
54,CA,0.035916577005,0.398561037318,0.308533708028
55,CF,0.0,0.0,0.00550609158004
56,CZ,0.0,0.282953987228,0.0
57,XX,0.000172532781228,0.25329112652,0.0545026391639
58,UY,0.0,0.324576653145,0.0378384672218
59,SY,0.0,0.326531934188,0.00124946489953
60,KE,0.0,0.267016261455,0.0363743204148
61,KH,0.0,0.0,0.00853006678385
62,KR,0.000233754090697,0.289862572595,0.00595531659745
63,KW,0.0,0.329833937774,0.0
64,SL,0.0,0.0,0.00126539901159
65,SA,0.0,0.273244781784,0.0
66,SG,0.00197160444355,0.371262336132,0.0135860113951
67,SE,0.0,0.0,0.0173366679589
68,SD,0.0,0.271911880409,0.0
69,DK,0.0161880737179,0.332541724388,0.0674954314822
70,DE,0.0293126702138,0.368736742009,0.271603785348
71,DZ,0.0,0.0,0.0101841206115
72,LB,0.000311672120929,0.261856526934,0.00509206030575
73,TW,0.0,0.33877688172,0.0255902003516
74,TR,0.000370110643603,0.286795243784,0.00303253638576
75,LK,0.0,0.010752688172,0.0
76,LI,0.0,0.346223201763,0.0
77,TN,0.0,0.0,0.00297765829873
78,TH,0.0,0.264411224757,0.0170601335677
79,LY,0.0,0.228710131119,0.000686712376591
80,AE,0.0152684552201,0.324576653145,0.0366281338236
81,AD,0.0,0.266707825282,0.0
82,AF,0.0,0.0,0.00550609158004
83,IS,0.0,0.267990074442,0.0
84,IT,0.00830476338891,0.330514030947,0.0666451273216
85,AN,0.0,0.267990074442,0.0
86,AR,0.0,0.297825830084,0.0267172269912
87,AU,0.035003320304,0.373822766036,0.156122940772
88,VU,0.0,0.0,0.000412936826109
89,IN,0.0,0.250945838311,0.00292711095106
90,IE,0.0,0.0,0.00853006678385
91,ID,0.0,0.343065196679,0.0523074273428
92,QA,0.0,0.341975064318,0.0
93,MZ,0.0,0.0,0.00853006678385
