,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
3329,2009,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,US,AR,,,3.0,ivory carvings,,T,O
3330,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,3.0,ivory carvings,,Q,O
3331,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,AE,FR,22.0,,ivory carvings,,,I
3332,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,AE,XX,1.0,,ivory carvings,,,I
3333,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1.0,ivory carvings,,T,O
3334,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CN,AU,1.0,,ivory carvings,,,I
3335,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,DE,GB,2.0,,ivory carvings,,,I
3336,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,2.0,,ivory pieces,,,I
3337,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,,1.0,,ivory carvings,,,I
3338,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GR,CG,3.0,,ivory carvings,,,I
3339,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GR,RW,1.0,,ivory carvings,,,I
3340,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,IE,TR,2.0,,ivory carvings,,,I
3341,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,IN,XX,2.0,,ivory carvings,,,I
3342,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,JP,,2.0,,ivory carvings,,,I
3343,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,KH,,2.0,,ivory carvings,,,I
3344,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,NZ,,1.0,,ivory carvings,,,I
3345,2009,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,NZ,,1.0,,ivory pieces,,,I
