,Country,Total imports,Total exports,Net imports,2013_net_import_counts,2013_import_counts,2013_export_counts
0,CF,0.0,1.0,-1.0,-1.0,0.0,1.0
1,BE,5.0,10.0,-5.0,-5.0,5.0,10.0
2,FR,32.0,37.0,-5.0,-5.0,32.0,37.0
3,BG,0.0,1.0,-1.0,-1.0,0.0,1.0
4,TG,0.0,1.0,-1.0,-1.0,0.0,1.0
5,DK,1.0,1.0,0.0,0.0,1.0,1.0
6,BM,1.0,0.0,1.0,1.0,1.0,0.0
7,DE,24.0,22.0,2.0,2.0,24.0,22.0
8,JP,12.0,10.0,2.0,2.0,12.0,10.0
9,IL,1.0,5.0,-4.0,-4.0,1.0,5.0
10,HU,3.0,2.0,1.0,1.0,3.0,2.0
11,HK,46.0,18.0,28.0,28.0,46.0,18.0
12,BW,0.0,2.0,-2.0,-2.0,0.0,2.0
13,BR,0.0,3.0,-3.0,-3.0,0.0,3.0
14,FI,3.0,0.0,3.0,3.0,3.0,0.0
15,JE,1.0,4.0,-3.0,-3.0,1.0,4.0
16,GR,4.0,3.0,1.0,1.0,4.0,3.0
17,IS,1.0,1.0,0.0,0.0,1.0,1.0
18,RU,5.0,3.0,2.0,2.0,5.0,3.0
19,ZW,0.0,30.0,-30.0,-30.0,0.0,30.0
20,NL,3.0,15.0,-12.0,-12.0,3.0,15.0
21,PT,0.0,3.0,-3.0,-3.0,0.0,3.0
22,KR,8.0,8.0,0.0,0.0,8.0,8.0
23,CO,0.0,1.0,-1.0,-1.0,0.0,1.0
24,TW,5.0,2.0,3.0,3.0,5.0,2.0
25,TR,1.0,0.0,1.0,1.0,1.0,0.0
26,LK,2.0,4.0,-2.0,-2.0,2.0,4.0
27,NG,1.0,3.0,-2.0,-2.0,1.0,3.0
28,NZ,7.0,24.0,-17.0,-17.0,7.0,24.0
29,CU,0.0,1.0,-1.0,-1.0,0.0,1.0
30,UY,0.0,3.0,-3.0,-3.0,0.0,3.0
31,TH,3.0,3.0,0.0,0.0,3.0,3.0
32,PE,1.0,0.0,1.0,1.0,1.0,0.0
33,PK,2.0,0.0,2.0,2.0,2.0,0.0
34,PH,6.0,9.0,-3.0,-3.0,6.0,9.0
35,RO,2.0,1.0,1.0,1.0,2.0,1.0
36,EG,3.0,1.0,2.0,2.0,3.0,1.0
37,PL,5.0,4.0,1.0,1.0,5.0,4.0
38,ZM,0.0,1.0,-1.0,-1.0,0.0,1.0
39,CI,0.0,1.0,-1.0,-1.0,0.0,1.0
40,CH,47.0,69.0,-22.0,-22.0,47.0,69.0
41,AE,3.0,3.0,0.0,0.0,3.0,3.0
42,CN,33.0,10.0,23.0,23.0,33.0,10.0
43,CM,0.0,1.0,-1.0,-1.0,0.0,1.0
44,CL,1.0,0.0,1.0,1.0,1.0,0.0
45,IQ,1.0,0.0,1.0,1.0,1.0,0.0
46,BH,0.0,1.0,-1.0,-1.0,0.0,1.0
47,CA,47.0,63.0,-16.0,-16.0,47.0,63.0
48,IT,18.0,22.0,-4.0,-4.0,18.0,22.0
49,VN,2.0,5.0,-3.0,-3.0,2.0,5.0
50,ZA,3.0,16.0,-13.0,-13.0,3.0,16.0
51,GG,1.0,5.0,-4.0,-4.0,1.0,5.0
52,CZ,3.0,0.0,3.0,3.0,3.0,0.0
53,XX,8.0,8.0,0.0,0.0,8.0,8.0
54,AR,0.0,6.0,-6.0,-6.0,0.0,6.0
55,AU,16.0,14.0,2.0,2.0,16.0,14.0
56,AT,6.0,17.0,-11.0,-11.0,6.0,17.0
57,IN,2.0,2.0,0.0,0.0,2.0,2.0
58,LB,2.0,0.0,2.0,2.0,2.0,0.0
59,AN,0.0,1.0,-1.0,-1.0,0.0,1.0
60,IE,0.0,2.0,-2.0,-2.0,0.0,2.0
61,ID,2.0,2.0,0.0,0.0,2.0,2.0
62,ES,3.0,8.0,-5.0,-5.0,3.0,8.0
63,GH,0.0,2.0,-2.0,-2.0,0.0,2.0
64,OM,1.0,0.0,1.0,1.0,1.0,0.0
65,MA,1.0,0.0,1.0,1.0,1.0,0.0
66,MC,0.0,4.0,-4.0,-4.0,0.0,4.0
67,KE,3.0,0.0,3.0,3.0,3.0,0.0
68,AO,0.0,1.0,-1.0,-1.0,0.0,1.0
69,UA,2.0,0.0,2.0,2.0,2.0,0.0
70,MO,5.0,0.0,5.0,5.0,5.0,0.0
71,NO,2.0,3.0,-1.0,-1.0,2.0,3.0
72,US,220.0,125.0,95.0,95.0,220.0,125.0
73,QA,3.0,1.0,2.0,2.0,3.0,1.0
74,MT,2.0,0.0,2.0,2.0,2.0,0.0
75,KP,2.0,0.0,2.0,2.0,2.0,0.0
76,KW,4.0,4.0,0.0,0.0,4.0,4.0
77,IM,1.0,0.0,1.0,1.0,1.0,0.0
78,TZ,0.0,2.0,-2.0,-2.0,0.0,2.0
79,SG,20.0,2.0,18.0,18.0,20.0,2.0
80,MX,2.0,0.0,2.0,2.0,2.0,0.0
81,SE,4.0,1.0,3.0,3.0,4.0,1.0
82,GB,50.0,70.0,-20.0,-20.0,50.0,70.0
