,Country,Total imports,Total exports,Net imports,2006_net_import_counts,2006_import_counts,2006_export_counts
0,BE,3.0,13.0,-10.0,-10.0,3.0,13.0
1,BG,0.0,1.0,-1.0,-1.0,0.0,1.0
2,BM,1.0,0.0,1.0,1.0,1.0,0.0
3,JP,43.0,31.0,12.0,12.0,43.0,31.0
4,BW,0.0,1.0,-1.0,-1.0,0.0,1.0
5,BR,2.0,2.0,0.0,0.0,2.0,2.0
6,JE,1.0,2.0,-1.0,-1.0,1.0,2.0
7,RU,17.0,7.0,10.0,10.0,17.0,7.0
8,RW,0.0,1.0,-1.0,-1.0,0.0,1.0
9,RE,1.0,0.0,1.0,1.0,1.0,0.0
10,GT,0.0,1.0,-1.0,-1.0,0.0,1.0
11,GR,2.0,2.0,0.0,0.0,2.0,2.0
12,BH,1.0,0.0,1.0,1.0,1.0,0.0
13,GG,1.0,2.0,-1.0,-1.0,1.0,2.0
14,GB,61.0,132.0,-71.0,-71.0,61.0,132.0
15,GN,0.0,1.0,-1.0,-1.0,0.0,1.0
16,GL,2.0,2.0,0.0,0.0,2.0,2.0
17,GH,0.0,2.0,-2.0,-2.0,0.0,2.0
18,HU,4.0,0.0,4.0,4.0,4.0,0.0
19,HK,18.0,14.0,4.0,4.0,18.0,14.0
20,PT,5.0,9.0,-4.0,-4.0,5.0,9.0
21,PF,1.0,0.0,1.0,1.0,1.0,0.0
22,PE,1.0,1.0,0.0,0.0,1.0,1.0
23,PH,0.0,4.0,-4.0,-4.0,0.0,4.0
24,PL,0.0,2.0,-2.0,-2.0,0.0,2.0
25,EG,1.0,0.0,1.0,1.0,1.0,0.0
26,ZA,3.0,21.0,-18.0,-18.0,3.0,21.0
27,AO,0.0,1.0,-1.0,-1.0,0.0,1.0
28,ET,0.0,1.0,-1.0,-1.0,0.0,1.0
29,ZW,0.0,16.0,-16.0,-16.0,0.0,16.0
30,ES,16.0,9.0,7.0,7.0,16.0,9.0
31,UY,0.0,7.0,-7.0,-7.0,0.0,7.0
