,Country,Total imports,Total exports,Net imports,2006_net_import_counts,2006_import_counts,2006_export_counts
32,MC,3.0,4.0,-1.0,-1.0,3.0,4.0
33,MO,1.0,0.0,1.0,1.0,1.0,0.0
34,MK,1.0,1.0,0.0,0.0,1.0,1.0
35,MW,0.0,3.0,-3.0,-3.0,0.0,3.0
36,UG,1.0,0.0,1.0,1.0,1.0,0.0
37,UA,2.0,0.0,2.0,2.0,2.0,0.0
38,MX,10.0,11.0,-1.0,-1.0,10.0,11.0
39,IL,3.0,10.0,-7.0,-7.0,3.0,10.0
40,FR,36.0,42.0,-6.0,-6.0,36.0,42.0
41,FI,3.0,1.0,2.0,2.0,3.0,1.0
42,NL,8.0,26.0,-18.0,-18.0,8.0,26.0
43,NO,4.0,2.0,2.0,2.0,4.0,2.0
44,NA,0.0,1.0,-1.0,-1.0,0.0,1.0
45,NC,1.0,6.0,-5.0,-5.0,1.0,6.0
46,NG,0.0,3.0,-3.0,-3.0,0.0,3.0
47,NZ,19.0,17.0,2.0,2.0,19.0,17.0
48,CI,0.0,3.0,-3.0,-3.0,0.0,3.0
49,CH,59.0,48.0,11.0,11.0,59.0,48.0
50,CO,2.0,2.0,0.0,0.0,2.0,2.0
51,CN,25.0,5.0,20.0,20.0,25.0,5.0
52,CM,1.0,1.0,0.0,0.0,1.0,1.0
53,CL,3.0,1.0,2.0,2.0,3.0,1.0
54,CA,35.0,32.0,3.0,3.0,35.0,32.0
55,CF,0.0,1.0,-1.0,-1.0,0.0,1.0
56,CZ,2.0,1.0,1.0,1.0,2.0,1.0
57,XX,0.0,5.0,-5.0,-5.0,0.0,5.0
58,MA,1.0,1.0,0.0,0.0,1.0,1.0
59,SY,1.0,1.0,0.0,0.0,1.0,1.0
60,KE,2.0,3.0,-1.0,-1.0,2.0,3.0
61,KH,0.0,2.0,-2.0,-2.0,0.0,2.0
62,KR,6.0,4.0,2.0,2.0,6.0,4.0
63,KW,4.0,1.0,3.0,3.0,4.0,1.0
64,SG,8.0,6.0,2.0,2.0,8.0,6.0
65,SE,0.0,2.0,-2.0,-2.0,0.0,2.0
66,DK,6.0,6.0,0.0,0.0,6.0,6.0
67,DE,21.0,54.0,-33.0,-33.0,21.0,54.0
68,YE,1.0,1.0,0.0,0.0,1.0,1.0
69,AT,9.0,11.0,-2.0,-2.0,9.0,11.0
70,US,243.0,94.0,149.0,149.0,243.0,94.0
71,TZ,0.0,1.0,-1.0,-1.0,0.0,1.0
72,LA,0.0,2.0,-2.0,-2.0,0.0,2.0
73,TW,12.0,3.0,9.0,9.0,12.0,3.0
74,TR,2.0,3.0,-1.0,-1.0,2.0,3.0
75,LK,1.0,0.0,1.0,1.0,1.0,0.0
76,LI,2.0,0.0,2.0,2.0,2.0,0.0
77,LV,0.0,1.0,-1.0,-1.0,0.0,1.0
78,TH,1.0,7.0,-6.0,-6.0,1.0,7.0
79,VA,1.0,0.0,1.0,1.0,1.0,0.0
80,AE,5.0,2.0,3.0,3.0,5.0,2.0
81,AD,3.0,0.0,3.0,3.0,3.0,0.0
82,IS,1.0,0.0,1.0,1.0,1.0,0.0
83,IR,1.0,0.0,1.0,1.0,1.0,0.0
84,IT,14.0,17.0,-3.0,-3.0,14.0,17.0
85,VN,0.0,2.0,-2.0,-2.0,0.0,2.0
86,AN,1.0,0.0,1.0,1.0,1.0,0.0
87,AR,3.0,17.0,-14.0,-14.0,3.0,17.0
88,AU,23.0,19.0,4.0,4.0,23.0,19.0
89,VU,0.0,1.0,-1.0,-1.0,0.0,1.0
90,IN,0.0,3.0,-3.0,-3.0,0.0,3.0
91,ID,1.0,1.0,0.0,0.0,1.0,1.0
92,QA,1.0,1.0,0.0,0.0,1.0,1.0
