,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
4632,2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,PT,CH,XX,,1.0,ivory carvings,,T,O
4633,2011,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,CH,FR,XX,1.0,,ivory carvings,,T,O
4634,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,52.0,ivory carvings,,P,O
4635,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,45.0,46.0,ivory carvings,,T,O
4636,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,52.0,ivory carvings,,P,O
4637,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,105.0,ivory carvings,,T,O
4638,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,PH,,,2.0,ivory pieces,,P,U
4639,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,CH,XX,,2.0,ivory carvings,,T,O
4640,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,MC,XX,,1.0,ivory carvings,,Q,O
4641,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,52.0,ivory carvings,,P,O
4642,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,88.0,,ivory pieces,,P,O
4643,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,126.0,,ivory pieces,,P,O
4644,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,1.0,,ivory pieces,,T,O
4645,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,2.0,,ivory pieces,,Q,O
4646,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,,4.0,,ivory pieces,,Q,O
4647,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,JP,XX,4.0,,ivory pieces,,Q,O
4648,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,1.0,,ivory pieces,,P,O
4649,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,,2.0,ivory carvings,,T,O
4650,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,3.0,,ivory carvings,,T,O
4651,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,52.0,1.0,ivory carvings,,T,O
4652,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,52.0,,ivory carvings,,P,O
4653,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,4.0,,ivory carvings,,Q,O
4654,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,71.0,,ivory carvings,,T,O
4655,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2.0,,ivory pieces,,T,O
4656,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,10.0,,ivory carvings,,T,O
4657,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,1.0,,ivory pieces,,T,O
4658,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1.0,,ivory carvings,,T,O
4659,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,MC,XX,,9.0,ivory carvings,,P,O
4660,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,2.0,,ivory carvings,,Q,O
4661,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1.0,,ivory carvings,,T,O
4662,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,PL,XX,52.0,,ivory carvings,,T,O
4663,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,PL,XX,,1.0,ivory carvings,,T,W
4664,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,6.0,,ivory carvings,,Q,O
4665,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,2.0,2.0,ivory carvings,,T,O
4666,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,1.0,1.0,ivory carvings,,T,O
4667,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,AU,XX,,2.0,ivory carvings,,P,O
4668,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,CH,XX,1.0,,ivory carvings,,P,O
4669,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,CH,XX,,3.0,ivory carvings,,T,O
4670,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,XX,16.0,,ivory carvings,,P,O
4671,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,,5.0,,ivory carvings,,P,O
4672,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,IT,XX,,2.0,ivory pieces,,P,O
4673,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,IT,,2.0,,ivory carvings,,P,U
4674,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,NL,XX,1.0,,ivory carvings,,P,O
4675,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,US,XX,,25.0,ivory carvings,,P,I
4676,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,US,XX,,138.0,ivory carvings,,T,I
4677,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,US,XX,,20.0,ivory pieces,,T,I
4678,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7.0,156.0,ivory carvings,,P,O
4679,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7.0,576.0,ivory carvings,,T,O
4680,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,NO,XX,1.0,,ivory carvings,,P,O
4681,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,US,XX,,1.0,ivory carvings,,Q,O
4682,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,CH,XX,,654.0,ivory carvings,,T,O
4683,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,104.0,ivory carvings,,P,O
4684,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,7.0,ivory carvings,,Q,O
4685,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,450.0,ivory carvings,,T,O
4686,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,HK,XX,,0.17,ivory carvings,kg,T,O
4687,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,MC,XX,,1.0,ivory carvings,,T,O
4688,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,SG,FR,,3.0,ivory pieces,,Q,O
4689,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,,4.0,ivory carvings,,Q,O
4690,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,2.0,ivory carvings,,P,O
4691,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,2.0,ivory carvings,,Q,O
4692,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,1.0,ivory carvings,,T,O
4693,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,52.0,ivory carvings,,P,O
4694,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,41.0,ivory carvings,,T,O
4695,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,MC,XX,,5.0,ivory carvings,,T,O
4696,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,,5.0,ivory carvings,,T,O
4697,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,AT,XX,1.0,1.0,ivory carvings,,T,O
4698,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,BE,XX,8.0,,ivory carvings,,T,O
4699,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,XX,24.0,32.0,ivory carvings,,T,O
4700,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,XX,16.0,,ivory pieces,,T,O
4701,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,ZW,2.0,,ivory pieces,,T,O
4702,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,DE,XX,2.0,,ivory carvings,,T,O
4703,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,FR,XX,23.0,,ivory carvings,,T,O
4704,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,FR,XX,1.0,,ivory pieces,,T,O
4705,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,GB,XX,83.0,,ivory carvings,,T,O
4706,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,GB,XX,5.0,,ivory pieces,,T,O
4707,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,GB,,3.0,,ivory carvings,,,
4708,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,IT,CN,4.0,2.0,ivory pieces,,T,O
4709,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,IT,XX,4.0,,ivory carvings,,T,O
4710,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,JP,XX,1.0,,ivory carvings,,T,O
4711,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,SU,XX,2.0,,ivory carvings,,T,O
4712,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,US,XX,,3.0,ivory carvings,,P,I
4713,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,US,XX,,2.0,ivory carvings,,T,I
4714,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,US,XX,1.0,,ivory carvings,,T,O
4715,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ID,SG,XX,,2.0,ivory pieces,,P,O
4716,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IL,AT,XX,,1.0,ivory pieces,,Q,O
4717,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,470.0,ivory carvings,,T,O
4718,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,JP,XX,2.0,,ivory pieces,,Q,O
4719,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,RU,XX,,1.0,ivory carvings,,E,O
4720,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,,2.0,ivory carvings,,S,O
4721,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,,1.0,ivory carvings,,T,I
4722,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CA,XX,,2.0,ivory pieces,,Q,O
4723,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,KR,XX,,14.0,ivory pieces,,Q,O
4724,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,1.0,ivory carvings,,E,O
4725,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,3.0,ivory carvings,,Q,O
4726,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,1.0,ivory pieces,,T,I
4727,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KR,JP,XX,7.0,,ivory pieces,,Q,O
4728,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KR,US,XX,,2.0,ivory carvings,,T,I
4729,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MC,GB,XX,1.0,,ivory carvings,,P,O
4730,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MO,CH,XX,,1.0,ivory pieces,,T,O
4731,2011,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NL,CH,XX,,578.0,ivory carvings,,T,O
