,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts
0,BE,7.0,14.0,-7.0,-7.0,7.0,14.0
1,BG,0.0,1.0,-1.0,-1.0,0.0,1.0
2,BB,0.0,1.0,-1.0,-1.0,0.0,1.0
3,BM,1.0,0.0,1.0,1.0,1.0,0.0
4,JP,62.0,28.0,34.0,34.0,62.0,28.0
5,BI,0.0,2.0,-2.0,-2.0,0.0,2.0
6,JO,1.0,0.0,1.0,1.0,1.0,0.0
7,BR,6.0,4.0,2.0,2.0,6.0,4.0
8,JE,2.0,2.0,0.0,0.0,2.0,2.0
9,RU,6.0,5.0,1.0,1.0,6.0,5.0
10,RW,0.0,1.0,-1.0,-1.0,0.0,1.0
11,RO,2.0,3.0,-1.0,-1.0,2.0,3.0
12,GT,1.0,0.0,1.0,1.0,1.0,0.0
13,GR,8.0,3.0,5.0,5.0,8.0,3.0
14,GG,0.0,4.0,-4.0,-4.0,0.0,4.0
15,GB,60.0,110.0,-50.0,-50.0,60.0,110.0
16,GA,0.0,4.0,-4.0,-4.0,0.0,4.0
17,GM,1.0,0.0,1.0,1.0,1.0,0.0
18,GL,0.0,4.0,-4.0,-4.0,0.0,4.0
19,GH,0.0,3.0,-3.0,-3.0,0.0,3.0
20,OM,0.0,1.0,-1.0,-1.0,0.0,1.0
21,HR,1.0,1.0,0.0,0.0,1.0,1.0
22,HU,3.0,0.0,3.0,3.0,3.0,0.0
23,HK,21.0,11.0,10.0,10.0,21.0,11.0
24,PT,12.0,4.0,8.0,8.0,12.0,4.0
25,KW,6.0,1.0,5.0,5.0,6.0,1.0
26,PH,0.0,5.0,-5.0,-5.0,0.0,5.0
27,PL,2.0,1.0,1.0,1.0,2.0,1.0
28,ZM,0.0,2.0,-2.0,-2.0,0.0,2.0
29,EG,0.0,2.0,-2.0,-2.0,0.0,2.0
30,ZA,4.0,30.0,-26.0,-26.0,4.0,30.0
31,AO,0.0,2.0,-2.0,-2.0,0.0,2.0
32,ZW,0.0,11.0,-11.0,-11.0,0.0,11.0
33,ES,16.0,2.0,14.0,14.0,16.0,2.0
34,UY,1.0,10.0,-9.0,-9.0,1.0,10.0
35,MC,10.0,11.0,-1.0,-1.0,10.0,11.0
36,MM,0.0,1.0,-1.0,-1.0,0.0,1.0
37,MO,2.0,0.0,2.0,2.0,2.0,0.0
38,US,230.0,88.0,142.0,142.0,230.0,88.0
