,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts
39,MT,2.0,1.0,1.0,1.0,2.0,1.0
40,MW,0.0,1.0,-1.0,-1.0,0.0,1.0
41,IM,2.0,2.0,0.0,0.0,2.0,2.0
42,MY,1.0,2.0,-1.0,-1.0,1.0,2.0
43,MX,4.0,0.0,4.0,4.0,4.0,0.0
44,IL,1.0,10.0,-9.0,-9.0,1.0,10.0
45,FR,41.0,76.0,-35.0,-35.0,41.0,76.0
46,NL,5.0,17.0,-12.0,-12.0,5.0,17.0
47,NO,3.0,8.0,-5.0,-5.0,3.0,8.0
48,NC,2.0,0.0,2.0,2.0,2.0,0.0
49,NG,0.0,5.0,-5.0,-5.0,0.0,5.0
50,NZ,34.0,14.0,20.0,20.0,34.0,14.0
51,CI,0.0,18.0,-18.0,-18.0,0.0,18.0
52,CH,48.0,58.0,-10.0,-10.0,48.0,58.0
53,CN,27.0,14.0,13.0,13.0,27.0,14.0
54,CM,0.0,3.0,-3.0,-3.0,0.0,3.0
55,CL,1.0,0.0,1.0,1.0,1.0,0.0
56,CA,42.0,38.0,4.0,4.0,42.0,38.0
57,CD,0.0,1.0,-1.0,-1.0,0.0,1.0
58,CZ,6.0,3.0,3.0,3.0,6.0,3.0
59,XX,6.0,2.0,4.0,4.0,6.0,2.0
60,CS,0.0,2.0,-2.0,-2.0,0.0,2.0
61,MA,4.0,1.0,3.0,3.0,4.0,1.0
62,CU,0.0,1.0,-1.0,-1.0,0.0,1.0
63,KE,0.0,5.0,-5.0,-5.0,0.0,5.0
64,KR,7.0,0.0,7.0,7.0,7.0,0.0
65,SI,1.0,0.0,1.0,1.0,1.0,0.0
66,SO,0.0,1.0,-1.0,-1.0,0.0,1.0
67,SN,0.0,2.0,-2.0,-2.0,0.0,2.0
68,SA,1.0,1.0,0.0,0.0,1.0,1.0
69,SG,4.0,7.0,-3.0,-3.0,4.0,7.0
70,SE,2.0,2.0,0.0,0.0,2.0,2.0
71,DK,9.0,8.0,1.0,1.0,9.0,8.0
72,DE,44.0,61.0,-17.0,-17.0,44.0,61.0
73,LB,1.0,2.0,-1.0,-1.0,1.0,2.0
74,TW,10.0,1.0,9.0,9.0,10.0,1.0
75,TR,5.0,0.0,5.0,5.0,5.0,0.0
76,LK,0.0,1.0,-1.0,-1.0,0.0,1.0
77,LI,1.0,1.0,0.0,0.0,1.0,1.0
78,LV,0.0,1.0,-1.0,-1.0,0.0,1.0
79,LU,0.0,1.0,-1.0,-1.0,0.0,1.0
80,TH,2.0,3.0,-1.0,-1.0,2.0,3.0
81,TG,0.0,1.0,-1.0,-1.0,0.0,1.0
82,VA,1.0,1.0,0.0,0.0,1.0,1.0
83,AE,2.0,2.0,0.0,0.0,2.0,2.0
84,AF,1.0,0.0,1.0,1.0,1.0,0.0
85,IS,1.0,0.0,1.0,1.0,1.0,0.0
86,IT,8.0,18.0,-10.0,-10.0,8.0,18.0
87,VN,0.0,1.0,-1.0,-1.0,0.0,1.0
88,AR,1.0,15.0,-14.0,-14.0,1.0,15.0
89,AU,26.0,25.0,1.0,1.0,26.0,25.0
90,AT,6.0,15.0,-9.0,-9.0,6.0,15.0
91,IN,2.0,2.0,0.0,0.0,2.0,2.0
92,TZ,0.0,3.0,-3.0,-3.0,0.0,3.0
93,IE,1.0,0.0,1.0,1.0,1.0,0.0
94,ID,1.0,2.0,-1.0,-1.0,1.0,2.0
95,UA,0.0,1.0,-1.0,-1.0,0.0,1.0
96,CY,1.0,0.0,1.0,1.0,1.0,0.0
97,QA,4.0,0.0,4.0,4.0,4.0,0.0
98,MZ,0.0,4.0,-4.0,-4.0,0.0,4.0
