,Country,bet,clo,eig
0,BE,0.000133455349653,0.345679813181,0.0887670574583
1,BG,0.0,0.260068389058,0.0
2,BO,0.0,0.0,0.0100619645028
3,JP,0.0103718411028,0.354321808511,0.0490522349832
4,BI,0.0,0.0,0.0100619645028
5,JO,0.0,0.34358478401,0.0100619645028
6,BR,0.0,0.0,0.0184308204554
7,BY,0.0,0.0,0.0117132057171
8,RU,0.000407992068939,0.347800548231,0.0253252501883
9,RO,0.0,0.158733839643,0.0
10,GR,0.0,0.345679813181,0.0358377647163
11,GG,0.0,0.270954972786,0.0
12,GE,0.0,0.0,0.0201239290055
13,GB,0.0404648504854,0.399235840575,0.523070312881
14,GH,0.0,0.0,0.0100619645028
15,IL,0.0,0.34358478401,0.0555111436965
16,HU,0.0,0.345679813181,0.000784500967059
17,HK,0.0291030711072,0.426251799712,0.159856957793
18,PT,0.000417029397812,0.286320653342,0.0670544635099
19,PA,0.0,0.0,0.0201239290055
20,PE,0.0,0.0,0.00830301527513
21,PK,0.0,0.158733839643,0.0
22,PL,0.0,0.286320653342,0.00565187120807
23,ZM,0.0,0.156606324204,0.0100619645028
24,EG,0.0,0.0,0.0100619645028
25,ZA,0.12317928773,0.256522576297,0.101400627799
26,IT,0.00136387735907,0.368126554297,0.12824787514
27,ET,0.000257378174331,0.202469604863,0.00355007996841
28,ZW,0.108656126913,0.193486311815,0.109636814225
29,ES,0.0,0.356550247558,0.040247858011
30,UY,0.0,0.0,0.0293554110836
31,MC,0.0,0.348834246401,0.0
32,MO,0.0,0.357394596006,0.0
33,US,0.403377154887,0.609585907115,0.44935703449
34,MU,0.0,0.158733839643,0.0
35,MT,0.0,0.0,0.00565187120807
36,MW,0.0,0.0,0.0100619645028
37,UG,0.0,0.0,0.0201239290055
38,UA,0.0,0.366385655025,0.0
39,MX,0.00185548328994,0.354321808511,0.0223222445156
40,MZ,4.5756119881e-05,0.157040136736,0.00355007996841
41,FR,0.024806997319,0.385656390216,0.296480464366
42,NL,0.0,0.280650937434,0.068628820834
43,NO,0.0,0.356550247558,0.0201239290055
44,NA,0.0,0.194816114645,0.0201239290055
45,NG,0.0,0.34358478401,0.0201239290055
46,NZ,0.000210086946532,0.361092288928,0.0628488347331
47,CI,0.0,0.0,0.00663913801753
48,CH,0.089644665434,0.436088379705,0.252404538139
49,CO,0.0,0.350935657524,0.0
50,CN,0.0305271395525,0.423070816132,0.0350330004066
51,CL,0.0,0.0,0.0201239290055
52,CA,0.0440776857043,0.402067300438,0.370790437071
53,CF,0.0,0.0,0.00663913801753
54,CZ,0.000181117974529,0.356550247558,0.00109842573336
55,XX,0.000648211698315,0.272555237316,0.0106564423931
56,XV,0.0,0.0,0.00357961087001
57,SY,0.0,0.0,0.0100619645028
58,KE,0.0,0.0,0.0100619645028
59,SK,0.0,0.158733839643,0.0
60,KR,0.00465695620123,0.244359867938,0.0172211862428
61,KP,0.0,0.158733839643,0.0
62,KW,0.0,0.156606324204,0.0100619645028
63,SN,0.0,0.157040136736,0.000784500967059
64,KZ,0.0,0.204404628593,0.0
65,SA,0.0,0.34358478401,0.0100619645028
66,SG,0.000726378403111,0.38829787234,0.0230169481332
67,SE,0.0,0.285565289946,0.0
68,SD,0.0,0.157040136736,0.000784500967059
69,DK,0.0,0.354321808511,0.0503098225138
70,DE,0.0267654236254,0.383050603795,0.158533891571
71,YE,0.0,0.204404628593,0.0
72,LB,2.85975749256e-05,0.352121051936,0.0183649797779
73,LA,0.0,0.348834246401,0.0
74,TW,0.0,0.363406983088,0.0113037424161
75,TR,0.00835049187829,0.352121051936,0.000611569878602
76,LK,0.0,0.263598729181,0.0
77,LI,0.0,0.220589452769,0.00259405385988
78,TN,0.0,0.0,0.00830301527513
79,TH,0.00205711888965,0.356550247558,0.0216255077167
80,TC,0.0,0.0,0.0100619645028
81,AE,0.0331731869137,0.268680044368,0.0588708422676
82,IR,0.0,0.158733839643,0.0
83,AL,0.0,0.348834246401,0.0
84,VN,0.0,0.258865248227,0.040247858011
85,AR,0.0,0.0,0.0410323589781
86,AU,0.161971902243,0.377943262411,0.30276641745
87,AT,0.0189837057373,0.306440483036,0.0579214217153
88,IN,0.0,0.158733839643,0.0
89,TZ,0.00190650499504,0.201749072462,0.0100619645028
90,IE,0.0,0.0,0.0201239290055
91,ID,0.0,0.345679813181,0.040247858011
92,MY,0.0,0.350935657524,0.0
93,CY,0.0,0.158733839643,0.0
94,QA,0.00323597447825,0.347800548231,0.0100893524285
