,Country,bet,clo,eig
0,BE,0.00668645697217,0.355818008878,0.12802408914
1,FR,0.0972943198102,0.397678951099,0.285692737361
2,DK,0.0101452087273,0.355818008878,0.062394066762
3,SG,0.0120247292615,0.329782544813,0.0491030894214
4,DE,0.0762643022308,0.386316695353,0.242561282594
5,JP,0.0178766668427,0.409729828405,0.17452396015
6,BJ,0.0,0.273092369478,0.0
7,HU,0.0,0.297918948521,0.0
8,AT,0.00247804282112,0.362982129862,0.118706641034
9,HK,0.00177139036234,0.386316695353,0.0713634119436
10,BR,0.000544788635254,0.30214713603,0.013105747057
11,FI,0.0,0.275796254324,0.0
12,JE,0.0,0.0,0.0690229703265
13,LI,0.0,0.267840593142,0.0
14,MA,0.0,0.267744244304,0.0148000349554
15,CR,0.0,0.0,0.0125708899114
16,CN,0.0121504578786,0.436164010882,0.177520692445
17,ES,0.00109462239201,0.353492400976,0.0624988296121
18,RU,0.00322338700612,0.403614457831,0.0342456438799
19,LB,0.000544521751042,0.386316695353,0.0125708899114
20,PT,0.00542150082262,0.348931208706,0.0510951366331
21,NO,0.00579606952293,0.340153065091,0.00690633487896
22,BS,0.0,0.0,0.0393172411711
23,TW,0.000381423846014,0.353492400976,0.00680511580731
24,TR,0.000564861070297,0.367920662241,0.0102977722914
25,NG,0.0,0.255114798818,0.0280975865744
26,TN,0.0,0.350382662726,0.0
27,NZ,0.00111094785647,0.307297371303,0.0112408316996
28,LU,0.0,0.0,0.0125708899114
29,CU,0.0,0.346694470188,0.01418973187
30,TH,0.0,0.0,0.0125708899114
31,NL,0.0053909717148,0.36543471182,0.0657811078586
32,PH,0.0,0.273092369478,0.0
33,AE,0.0427574038102,0.394776185032,0.0189043666057
34,CA,0.0583818495809,0.403614457831,0.331786199191
35,PL,0.0121129207519,0.290776007255,0.0240754320059
36,ZM,0.0,0.0,0.00062359253649
37,CI,0.0,0.0,0.0125708899114
38,CH,0.0663637278982,0.422533885542,0.262717742603
39,CO,0.0,0.26528973035,0.0
40,GR,0.0,0.357120790856,0.0
41,CL,0.00159777783759,0.358174419532,0.0245021340461
42,BH,0.0,0.267840593142,0.0
43,EG,0.0,0.284238996804,0.0
44,IR,0.0,0.267840593142,0.0
45,AM,0.0,0.26642530714,0.000489660818362
46,IT,0.0132804860435,0.370440666777,0.11411314415
47,VN,0.0,0.348931208706,0.0754253394681
48,ZA,0.000573980978268,0.275940496681,0.0913813566863
49,GG,0.0,0.0,0.0393172411711
50,CZ,0.00116232006476,0.255114798818,0.0409054437821
51,GE,0.0,0.0,0.00628274234247
52,AR,0.0,0.0,0.0171689792279
53,AU,0.0220563628166,0.422533885542,0.0870211219761
54,GB,0.112020946202,0.416033364226,0.505975742188
55,GA,0.000312224507787,0.270421686747,0.013105747057
56,IN,0.0,0.0,0.00225408185783
57,BA,0.0,0.0,0.0125708899114
58,ET,0.0,0.0,0.0125708899114
59,GL,0.0,0.0,0.00646444817956
60,IE,0.000173166533731,0.351196995775,0.0291429792012
61,ID,0.0,0.344486225155,0.0565663019879
62,GI,0.0,0.0,0.0262114941141
63,OM,0.0,0.271760211578,0.0
64,UY,0.000312224507787,0.270421686747,0.016320091869
65,MC,0.0,0.269076305221,0.0136102316146
66,XV,0.0,0.275796254324,0.0
67,MY,0.0,0.278785244069,0.00127188954826
68,MO,0.000573980978268,0.293936616029,0.0148000349554
69,KH,0.0,0.0,0.0125708899114
70,XX,0.00142697117425,0.362982129862,0.0674525388733
71,US,0.33926313244,0.594333377466,0.485307998852
72,QA,0.0,0.302776322682,0.0
73,KR,0.0113249423133,0.370440666777,0.0117756040819
74,SA,0.0,0.293936616029,0.000489660818362
75,KW,0.000558108264544,0.375585676037,0.0155266966631
76,AO,0.0,0.0,0.0125708899114
77,KZ,0.0,0.281367895826,0.0
78,UG,0.0,0.0,0.0125708899114
79,TZ,0.0,0.0,0.00628274234247
80,UA,0.0,0.275796254324,0.0
81,MX,0.0126774033089,0.380875615137,0.10903685106
82,SE,0.0,0.346694470188,0.00452052871418
83,IL,0.000136725764848,0.370440666777,0.0347709423444
