,Country,Total imports,Total exports,Net imports,2010_net_import_counts,2010_import_counts,2010_export_counts
0,BE,6.0,16.0,-10.0,-10.0,6.0,16.0
1,BG,0.0,1.0,-1.0,-1.0,0.0,1.0
2,JP,19.0,17.0,2.0,2.0,19.0,17.0
3,BW,0.0,3.0,-3.0,-3.0,0.0,3.0
4,BR,6.0,3.0,3.0,3.0,6.0,3.0
5,RU,19.0,6.0,13.0,13.0,19.0,6.0
6,RS,0.0,1.0,-1.0,-1.0,0.0,1.0
7,LR,0.0,1.0,-1.0,-1.0,0.0,1.0
8,RO,1.0,0.0,1.0,1.0,1.0,0.0
9,GR,1.0,2.0,-1.0,-1.0,1.0,2.0
10,BH,1.0,0.0,1.0,1.0,1.0,0.0
11,GE,1.0,2.0,-1.0,-1.0,1.0,2.0
12,GB,46.0,54.0,-8.0,-8.0,46.0,54.0
13,GL,2.0,1.0,1.0,1.0,2.0,1.0
14,GH,0.0,1.0,-1.0,-1.0,0.0,1.0
15,HK,34.0,6.0,28.0,28.0,34.0,6.0
16,PT,4.0,12.0,-8.0,-8.0,4.0,12.0
17,PK,2.0,0.0,2.0,2.0,2.0,0.0
18,PH,1.0,0.0,1.0,1.0,1.0,0.0
19,PL,4.0,3.0,1.0,1.0,4.0,3.0
20,EG,1.0,0.0,1.0,1.0,1.0,0.0
21,ZA,3.0,16.0,-13.0,-13.0,3.0,16.0
22,AO,0.0,1.0,-1.0,-1.0,0.0,1.0
23,ZW,0.0,41.0,-41.0,-41.0,0.0,41.0
24,ES,9.0,2.0,7.0,7.0,9.0,2.0
25,ER,0.0,1.0,-1.0,-1.0,0.0,1.0
26,MA,0.0,1.0,-1.0,-1.0,0.0,1.0
27,MC,1.0,1.0,0.0,0.0,1.0,1.0
28,US,181.0,100.0,81.0,81.0,181.0,100.0
29,MT,1.0,0.0,1.0,1.0,1.0,0.0
30,MW,0.0,2.0,-2.0,-2.0,0.0,2.0
31,MY,1.0,1.0,0.0,0.0,1.0,1.0
32,MX,8.0,3.0,5.0,5.0,8.0,3.0
33,MZ,1.0,4.0,-3.0,-3.0,1.0,4.0
34,FR,22.0,33.0,-11.0,-11.0,22.0,33.0
35,FI,1.0,0.0,1.0,1.0,1.0,0.0
36,FJ,1.0,0.0,1.0,1.0,1.0,0.0
37,NL,5.0,12.0,-7.0,-7.0,5.0,12.0
38,NA,1.0,0.0,1.0,1.0,1.0,0.0
39,NC,1.0,0.0,1.0,1.0,1.0,0.0
40,NG,0.0,2.0,-2.0,-2.0,0.0,2.0
41,NZ,12.0,25.0,-13.0,-13.0,12.0,25.0
42,CI,0.0,2.0,-2.0,-2.0,0.0,2.0
43,CH,64.0,59.0,5.0,5.0,64.0,59.0
44,CN,28.0,7.0,21.0,21.0,28.0,7.0
45,CM,0.0,1.0,-1.0,-1.0,0.0,1.0
46,CL,2.0,0.0,2.0,2.0,2.0,0.0
47,CA,20.0,36.0,-16.0,-16.0,20.0,36.0
48,CZ,2.0,1.0,1.0,1.0,2.0,1.0
49,XX,2.0,3.0,-1.0,-1.0,2.0,3.0
50,CX,1.0,0.0,1.0,1.0,1.0,0.0
51,XV,3.0,0.0,3.0,3.0,3.0,0.0
52,SY,1.0,0.0,1.0,1.0,1.0,0.0
53,KE,0.0,1.0,-1.0,-1.0,0.0,1.0
54,KH,1.0,1.0,0.0,0.0,1.0,1.0
55,SK,1.0,0.0,1.0,1.0,1.0,0.0
56,KR,7.0,9.0,-2.0,-2.0,7.0,9.0
57,KW,2.0,2.0,0.0,0.0,2.0,2.0
58,SA,1.0,0.0,1.0,1.0,1.0,0.0
59,SG,14.0,5.0,9.0,9.0,14.0,5.0
60,SE,0.0,2.0,-2.0,-2.0,0.0,2.0
61,DO,0.0,1.0,-1.0,-1.0,0.0,1.0
62,DK,2.0,1.0,1.0,1.0,2.0,1.0
63,DE,32.0,58.0,-26.0,-26.0,32.0,58.0
64,AT,8.0,27.0,-19.0,-19.0,8.0,27.0
65,LB,1.0,1.0,0.0,0.0,1.0,1.0
66,TW,8.0,0.0,8.0,8.0,8.0,0.0
67,TR,5.0,3.0,2.0,2.0,5.0,3.0
68,LI,3.0,0.0,3.0,3.0,3.0,0.0
69,LU,1.0,0.0,1.0,1.0,1.0,0.0
70,TJ,1.0,0.0,1.0,1.0,1.0,0.0
71,TH,1.0,2.0,-1.0,-1.0,1.0,2.0
72,LY,1.0,2.0,-1.0,-1.0,1.0,2.0
73,VA,1.0,1.0,0.0,0.0,1.0,1.0
74,AE,7.0,3.0,4.0,4.0,7.0,3.0
75,VE,0.0,3.0,-3.0,-3.0,0.0,3.0
76,IR,4.0,0.0,4.0,4.0,4.0,0.0
77,IT,13.0,10.0,3.0,3.0,13.0,10.0
78,VN,0.0,3.0,-3.0,-3.0,0.0,3.0
79,AR,0.0,11.0,-11.0,-11.0,0.0,11.0
80,AU,22.0,30.0,-8.0,-8.0,22.0,30.0
81,IL,4.0,0.0,4.0,4.0,4.0,0.0
82,IN,2.0,1.0,1.0,1.0,2.0,1.0
83,TZ,1.0,1.0,0.0,0.0,1.0,1.0
84,IE,0.0,3.0,-3.0,-3.0,0.0,3.0
85,ID,4.0,4.0,0.0,0.0,4.0,4.0
86,UA,1.0,0.0,1.0,1.0,1.0,0.0
87,QA,1.0,0.0,1.0,1.0,1.0,0.0
