,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1613,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AD,FR,XX,,1.0,ivory carvings,,T,O
1614,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,CH,XX,,30.0,ivory carvings,,T,O
1615,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,CH,XX,3.0,,ivory pieces,,P,O
1616,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,FR,CN,,1.0,ivory carvings,,P,O
1617,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,GB,XX,,1.0,ivory carvings,,T,O
1618,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AR,CH,XX,,1.0,ivory carvings,sets,P,O
1619,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AR,GB,XX,,2.0,ivory carvings,,T,O
1620,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,4.0,,ivory carvings,,Q,O
1621,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1.0,7.0,ivory carvings,,T,O
1622,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,US,XX,,2.0,ivory carvings,,E,O
1623,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1.0,ivory carvings,,P,O
1624,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,13.0,ivory carvings,,P,O
1625,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,2.0,ivory carvings,,P,U
1626,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,53.0,ivory carvings,,T,O
1627,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,HU,,,10.0,ivory carvings,,P,O
1628,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,XX,,4.0,ivory carvings,,P,O
1629,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,CH,XX,1.0,1.0,ivory carvings,,T,O
1630,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,1.0,,ivory carvings,,E,O
1631,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,,1.0,ivory carvings,,Q,O
1632,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,XX,,2.0,,ivory carvings,,E,O
1633,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,AO,,38.0,ivory pieces,,P,O
1634,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,2.0,ivory pieces,,E,O
1635,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,1.0,ivory pieces,,T,O
1636,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,BE,XX,,2.0,ivory carvings,,P,O
1637,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,1.0,ivory carvings,sets,T,O
1638,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,XX,,2.0,ivory pieces,,Q,O
1639,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,11.0,ivory carvings,,Q,O
1640,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,1.0,ivory carvings,,T,O
1641,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,1.0,1.0,ivory carvings,,T,O
1642,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,1.0,2.0,ivory carvings,,T,O
1643,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CH,XX,,1.0,ivory carvings,,T,O
1644,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,2.0,2.0,ivory carvings,sets,P,O
1645,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,2.0,1.0,ivory carvings,sets,T,O
1646,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,6.0,6.0,ivory carvings,,P,O
1647,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,1.0,1.0,ivory carvings,,Q,O
1648,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,33.0,2.0,ivory carvings,,T,O
1649,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DK,XX,26.0,26.0,ivory carvings,,T,O
1650,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2.0,,ivory carvings,sets,T,O
1651,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,6.0,14.0,ivory carvings,,P,O
1652,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,16.0,14.0,ivory carvings,,T,O
1653,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1.0,ivory pieces,,P,O
1654,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,6.0,ivory pieces,,T,O
1655,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,1.0,1.0,ivory carvings,,P,O
1656,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,16.0,15.0,ivory carvings,,T,O
1657,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,3.0,,ivory carvings,,P,O
1658,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1.0,,ivory carvings,,P,O
1659,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,2.0,,ivory carvings,,T,O
1660,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,PT,XX,2.0,,ivory carvings,,T,O
1661,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,,1.0,ivory carvings,,P,O
1662,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,1.0,1.0,ivory carvings,,T,O
1663,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,1.0,,ivory carvings,,T,O
1664,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,AU,XX,,11.0,ivory carvings,,P,O
1665,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,AU,XX,,1.0,ivory carvings,,T,O
1666,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,CH,XX,,2.0,ivory carvings,,T,O
1667,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,5.0,ivory carvings,,T,O
1668,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,XX,,2.0,ivory carvings,,T,O
1669,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,,9.0,ivory carvings,sets,T,O
1670,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,,2.0,ivory carvings,,T,O
1671,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7.0,5.0,ivory carvings,sets,P,O
1672,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,5.0,128.0,ivory carvings,sets,T,O
1673,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,1.0,,ivory carvings,,P,O
1674,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,1.0,,ivory carvings,,Q,O
1675,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,10.0,13.0,ivory carvings,,T,O
1676,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,NO,XX,,1.0,ivory carvings,sets,T,O
1677,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,US,XX,8.0,9.0,ivory carvings,,Q,O
1678,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,SL,XX,3.0,,ivory carvings,,E,I
1679,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,DK,9.0,,ivory carvings,,Q,O
1680,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,,1.0,ivory carvings,,E,O
1681,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,,9.0,ivory carvings,,Q,O
1682,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,1.0,,ivory carvings,,Q,W
1683,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,TR,XX,4.0,,ivory carvings,,E,O
1684,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FI,CH,XX,,1.0,ivory carvings,sets,T,O
1685,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FI,CH,XX,1.0,,ivory carvings,,P,O
1686,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,BR,XX,1.0,,ivory carvings,,T,O
1687,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,2.0,ivory carvings,sets,P,O
1688,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,8.0,ivory carvings,sets,T,O
1689,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,2.0,,ivory carvings,,E,O
1690,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,1.0,,ivory carvings,,P,O
1691,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,2.0,18.0,ivory carvings,,T,O
1692,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,0.1,,ivory pieces,kg,T,O
1693,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,3.0,,ivory pieces,,T,O
1694,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,FR,XX,,1.0,ivory carvings,,T,O
1695,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,JP,XX,1.0,3.0,ivory carvings,,Q,O
1696,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,RU,XX,,3.0,ivory carvings,,Q,O
1697,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,1.0,,ivory carvings,kg,T,W
1698,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,8.0,,ivory carvings,,E,O
1699,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,,1.0,ivory carvings,,E,W
1700,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,2.0,2.0,ivory carvings,,Q,O
1701,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,1.0,10.0,ivory carvings,,Q,W
1702,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,57.0,,ivory carvings,,T,O
1703,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,11.0,ivory carvings,sets,P,O
1704,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,1.0,ivory carvings,,P,O
1705,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,3.0,ivory carvings,,T,O
1706,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CA,XX,6.0,,ivory carvings,,P,O
1707,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CA,XX,1.0,2.0,ivory carvings,,T,O
1708,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,0.047,,ivory carvings,kg,,I
1709,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,9.0,,ivory carvings,,P,O
1710,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,213.0,183.0,ivory carvings,,T,O
1711,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,33.0,,ivory carvings,,,I
1712,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,ID,,5.0,,ivory carvings,,,I
1713,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JE,XX,3.0,,ivory carvings,,T,O
1714,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JE,XX,1.0,,ivory carvings,,,I
1715,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JP,XX,,16.0,ivory carvings,,T,O
1716,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,NO,XX,,1.0,ivory carvings,,T,O
1717,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,PE,XX,1.0,,ivory carvings,,P,O
1718,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,,2.0,ivory carvings,,E,O
1719,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,2.0,,ivory carvings,,Q,O
1720,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,3.0,,ivory carvings,,,I
1721,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,XX,,23.0,,ivory carvings,,,I
1722,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GG,GB,XX,,1.0,ivory carvings,,T,O
1723,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GL,DK,XX,,1172.0,ivory carvings,,E,I
1724,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GR,CH,XX,1.0,,ivory carvings,,P,O
1725,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GR,CH,XX,,2.0,ivory carvings,,T,O
1726,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GR,US,XX,,1.0,ivory carvings,sets,P,O
1727,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,XX,,2.0,ivory carvings,,T,O
1728,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,DK,XX,,2.0,ivory carvings,,T,O
1729,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,FR,XX,2.0,,ivory carvings,,T,O
1730,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,GB,XX,3.0,1.0,ivory carvings,,T,O
1731,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,NL,XX,3.0,,ivory carvings,,T,O
1732,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ID,AU,XX,,1.0,ivory carvings,,P,O
1733,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IS,CH,XX,42.0,,ivory carvings,,E,I
1734,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IS,CH,XX,,47.0,ivory carvings,,T,I
1735,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,1.0,ivory carvings,sets,P,O
1736,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,1.0,ivory carvings,sets,T,O
1737,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,1.0,,ivory carvings,,P,O
1738,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,6.0,ivory carvings,,T,O
1739,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,SY,,13.0,,ivory carvings,,E,O
1740,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,1.0,,ivory carvings,,T,O
1741,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,BE,XX,2.0,2.0,ivory carvings,,P,O
1742,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,BE,XX,9.0,5.0,ivory carvings,,T,O
1743,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CH,XX,3.0,3.0,ivory carvings,,T,O
1744,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,3.0,2.0,ivory carvings,,P,O
1745,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,,4.0,ivory carvings,,Q,O
1746,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,45.0,47.0,ivory carvings,,T,O
1747,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,,22.0,ivory pieces,,Q,O
1748,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,KR,XX,7.0,,ivory carvings,pairs,Q,O
1749,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,KR,XX,2.0,,ivory carvings,,Q,O
1750,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,RU,XX,,1.0,ivory carvings,,Q,O
1751,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,TN,XX,3.0,,ivory carvings,,Q,O
1752,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,TR,XX,22.0,,ivory carvings,,Q,O
1753,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,1.0,ivory carvings,,E,O
1754,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,6.0,ivory carvings,,E,W
1755,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,119.0,,ivory carvings,,Q,O
1756,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,92.0,ivory carvings,,Q,U
1757,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,20.0,ivory carvings,,Q,W
1758,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KR,BE,XX,,2.0,ivory carvings,,E,O
1759,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KR,DK,XX,,2.0,ivory carvings,,T,O
1760,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,LB,FR,XX,,0.66,ivory carvings,kg,P,U
1761,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,LB,FR,XX,,42.0,ivory carvings,,P,U
1762,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,LB,FR,XX,,1.0,ivory pieces,,P,U
1763,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MC,CH,XX,8.0,,ivory carvings,,P,O
1764,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MO,GB,XX,3.0,3.0,ivory carvings,,T,O
1765,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MT,JP,XX,,1.0,ivory carvings,,P,O
1766,2007,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MX,GB,XX,,2.0,ivory carvings,,T,O
