,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
0,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1.0,,ivory carvings,sets,P,O
1,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,18.0,ivory carvings,,,O
2,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,LI,XX,13.0,,ivory carvings,,E,O
3,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,US,XX,1.0,,ivory pieces,,P,O
4,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1.0,ivory carvings,,,O
5,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,14.0,ivory carvings,,P,O
6,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,2.0,ivory carvings,,Q,O
7,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,JP,XX,,1.0,ivory carvings,,P,O
8,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,XX,,14.0,ivory carvings,,P,O
9,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,JP,XX,1.0,,ivory carvings,,Q,O
10,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,4.0,,ivory carvings,,E,O
11,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,,6.0,ivory carvings,,Q,O
12,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,IT,XX,3.0,,ivory carvings,,E,O
13,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,IT,XX,,3.0,ivory pieces,,P,O
14,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,RU,XX,2.0,,ivory carvings,,E,O
15,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,RU,XX,,2.0,ivory carvings,,Q,O
16,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,BE,XX,,2.0,ivory carvings,,T,O
17,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,CG,1.0,,ivory carvings,,P,O
18,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,1.0,ivory carvings,,,O
19,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CN,XX,1.0,,ivory carvings,,P,W
20,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,XX,,2.0,ivory carvings,,T,O
21,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,2.0,,ivory carvings,,P,O
22,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,2.0,,ivory carvings,,T,O
23,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,,2.0,ivory pieces,,E,O
24,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,,2.0,,ivory carvings,,Q,O
25,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,NO,GH,,1.0,ivory carvings,,P,O
26,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,6.0,ivory carvings,,Q,O
27,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1.0,ivory carvings,,T,I
28,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,1.0,,ivory carvings,,T,O
29,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,,32.0,ivory carvings,,T,O
30,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CZ,XX,2.0,,ivory carvings,sets,T,O
31,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CZ,XX,,2.0,ivory carvings,,T,O
32,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,,1.0,ivory carvings,sets,T,O
33,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,IN,1.0,,ivory carvings,,P,O
34,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,3.0,,ivory carvings,sets,P,O
35,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,1.0,1.0,ivory carvings,,E,O
36,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1.0,ivory carvings,,P,O
37,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,2.0,ivory carvings,,Q,O
38,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,20.0,26.0,ivory carvings,,T,O
39,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2.0,,ivory pieces,,Q,O
40,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1.0,ivory pieces,,T,O
41,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,4.0,,ivory carvings,,P,O
42,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,,21.0,ivory carvings,,T,O
43,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GR,XX,65.0,,ivory carvings,,P,O
44,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GR,XX,,65.0,ivory pieces,,Q,O
45,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IL,XX,1.0,1.0,ivory carvings,,T,O
46,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1.0,,ivory carvings,sets,P,O
47,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,2.0,,ivory carvings,sets,T,O
48,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1.0,3.0,ivory carvings,,T,O
49,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,CH,XX,,1.0,ivory carvings,,,O
50,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,1.0,ivory carvings,kg,Q,O
51,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,6.2,ivory carvings,kg,T,O
52,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,1.0,,ivory carvings,,Q,O
53,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,3.0,ivory carvings,,T,O
54,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,XX,,2.0,ivory carvings,,T,U
55,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,IT,XX,4.0,,ivory carvings,,E,W
56,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,7.0,,ivory carvings,,T,O
57,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,,21.0,ivory carvings,,,O
58,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,US,XX,6.0,,ivory carvings,,E,O
59,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,AU,XX,1.0,1.0,ivory carvings,,T,O
60,2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CA,XX,4.0,4.0,ivory carvings,,P,O
