,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
5312,2012,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AT,JP,XX,1.0,,ivory carvings,,E,O
5313,2012,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,JP,AT,XX,,1.0,ivory carvings,,E,O
5314,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,AU,XX,,1.0,ivory carvings,,P,U
5315,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,24.0,ivory carvings,,T,O
5316,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CA,XX,,1.0,ivory pieces,,P,O
5317,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,12.0,ivory carvings,,P,O
5318,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,IT,XX,,1.0,ivory pieces,,P,O
5319,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,US,XX,,2.0,ivory carvings,,T,I
5320,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,AU,XX,,1.0,ivory carvings,,P,O
5321,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,1.0,ivory carvings,,T,O
5322,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,9.0,,ivory carvings,,Q,O
5323,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,2.0,,ivory pieces,,Q,O
5324,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,25.0,,ivory pieces,,P,O
5325,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,14.0,,ivory pieces,,T,O
5326,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,HK,XX,,10.0,ivory carvings,,P,U
5327,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,LB,,1.0,,ivory pieces,,P,O
5328,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,NL,,0.5,,ivory pieces,kg,P,O
5329,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,PE,,1.0,,ivory pieces,,Q,O
5330,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,179.0,,ivory pieces,,P,O
5331,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,52.0,,ivory pieces,,Q,O
5332,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,2.0,,ivory carvings,,Q,O
5333,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,2.0,52.0,ivory carvings,,T,O
5334,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,1.0,,ivory carvings,,P,O
5335,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,10.0,,ivory carvings,,Q,O
5336,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,2.0,,ivory carvings,,T,O
5337,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,GR,1.0,,ivory carvings,,Q,O
5338,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,IN,1.0,,ivory carvings,,Q,O
5339,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,JP,1.0,,ivory carvings,,Q,O
5340,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,PE,1.0,,ivory carvings,,Q,O
5341,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,7.0,,ivory carvings,,T,O
5342,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,1.0,,ivory pieces,,T,O
5343,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,4.0,,ivory carvings,,P,O
5344,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,11.0,,ivory carvings,,T,O
5345,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,52.0,,ivory pieces,,P,O
5346,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,HK,,,1.0,ivory carvings,,T,O
5347,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,3.0,,ivory carvings,,T,O
5348,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1.0,91.0,ivory pieces,,T,O
5349,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,JP,XX,71.0,,ivory carvings,,T,O
5350,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,3.0,,ivory carvings,,T,O
5351,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,PL,XX,2.0,,ivory carvings,,T,O
5352,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,PT,XX,1.0,,ivory carvings,,P,O
5353,2012,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SG,XX,3.0,,ivory carvings,,T,O
