,Country,Total imports,Total exports,Net imports,2009_net_import_counts,2009_import_counts,2009_export_counts
0,BE,7.0,2.0,5.0,5.0,7.0,2.0
1,JP,20.0,15.0,5.0,5.0,20.0,15.0
2,BI,0.0,1.0,-1.0,-1.0,0.0,1.0
3,JO,1.0,0.0,1.0,1.0,1.0,0.0
4,BR,3.0,4.0,-1.0,-1.0,3.0,4.0
5,RU,9.0,8.0,1.0,1.0,9.0,8.0
6,RO,1.0,0.0,1.0,1.0,1.0,0.0
7,GR,8.0,4.0,4.0,4.0,8.0,4.0
8,GE,0.0,1.0,-1.0,-1.0,0.0,1.0
9,GB,30.0,63.0,-33.0,-33.0,30.0,63.0
10,GH,0.0,4.0,-4.0,-4.0,0.0,4.0
11,BW,1.0,4.0,-3.0,-3.0,1.0,4.0
12,HU,1.0,0.0,1.0,1.0,1.0,0.0
13,HK,16.0,8.0,8.0,8.0,16.0,8.0
14,HN,0.0,1.0,-1.0,-1.0,0.0,1.0
15,PT,5.0,8.0,-3.0,-3.0,5.0,8.0
16,PA,0.0,1.0,-1.0,-1.0,0.0,1.0
17,PE,1.0,1.0,0.0,0.0,1.0,1.0
18,PK,1.0,0.0,1.0,1.0,1.0,0.0
19,PH,0.0,3.0,-3.0,-3.0,0.0,3.0
20,PL,3.0,3.0,0.0,0.0,3.0,3.0
21,ZM,1.0,2.0,-1.0,-1.0,1.0,2.0
22,EG,1.0,0.0,1.0,1.0,1.0,0.0
23,ZA,4.0,19.0,-15.0,-15.0,4.0,19.0
24,AL,1.0,0.0,1.0,1.0,1.0,0.0
25,ZW,1.0,50.0,-49.0,-49.0,1.0,50.0
26,ES,4.0,2.0,2.0,2.0,4.0,2.0
27,MG,1.0,0.0,1.0,1.0,1.0,0.0
28,MA,2.0,1.0,1.0,1.0,2.0,1.0
29,MC,0.0,1.0,-1.0,-1.0,0.0,1.0
30,MO,1.0,0.0,1.0,1.0,1.0,0.0
31,US,203.0,93.0,110.0,110.0,203.0,93.0
32,MW,0.0,4.0,-4.0,-4.0,0.0,4.0
33,UA,1.0,0.0,1.0,1.0,1.0,0.0
34,MX,5.0,4.0,1.0,1.0,5.0,4.0
35,AT,5.0,9.0,-4.0,-4.0,5.0,9.0
36,FR,23.0,24.0,-1.0,-1.0,23.0,24.0
37,FI,1.0,0.0,1.0,1.0,1.0,0.0
38,FJ,2.0,0.0,2.0,2.0,2.0,0.0
39,NL,11.0,9.0,2.0,2.0,11.0,9.0
40,NO,6.0,2.0,4.0,4.0,6.0,2.0
41,NA,1.0,2.0,-1.0,-1.0,1.0,2.0
42,NC,0.0,2.0,-2.0,-2.0,0.0,2.0
43,NG,0.0,3.0,-3.0,-3.0,0.0,3.0
44,NZ,14.0,31.0,-17.0,-17.0,14.0,31.0
45,CI,0.0,3.0,-3.0,-3.0,0.0,3.0
46,CH,56.0,52.0,4.0,4.0,56.0,52.0
47,CN,25.0,3.0,22.0,22.0,25.0,3.0
48,CM,1.0,2.0,-1.0,-1.0,1.0,2.0
49,CA,22.0,26.0,-4.0,-4.0,22.0,26.0
50,CF,0.0,1.0,-1.0,-1.0,0.0,1.0
51,CZ,1.0,0.0,1.0,1.0,1.0,0.0
52,XX,1.0,7.0,-6.0,-6.0,1.0,7.0
53,CX,1.0,0.0,1.0,1.0,1.0,0.0
54,XV,0.0,1.0,-1.0,-1.0,0.0,1.0
55,SY,1.0,1.0,0.0,0.0,1.0,1.0
56,KE,0.0,2.0,-2.0,-2.0,0.0,2.0
57,KH,1.0,3.0,-2.0,-2.0,1.0,3.0
58,SK,1.0,1.0,0.0,0.0,1.0,1.0
59,KR,4.0,1.0,3.0,3.0,4.0,1.0
60,KW,0.0,1.0,-1.0,-1.0,0.0,1.0
61,SG,8.0,5.0,3.0,3.0,8.0,5.0
62,SD,1.0,1.0,0.0,0.0,1.0,1.0
63,DK,2.0,0.0,2.0,2.0,2.0,0.0
64,DE,25.0,51.0,-26.0,-26.0,25.0,51.0
65,TZ,0.0,2.0,-2.0,-2.0,0.0,2.0
66,TW,3.0,1.0,2.0,2.0,3.0,1.0
67,TR,5.0,1.0,4.0,4.0,5.0,1.0
68,LT,1.0,0.0,1.0,1.0,1.0,0.0
69,LU,1.0,0.0,1.0,1.0,1.0,0.0
70,TJ,0.0,1.0,-1.0,-1.0,0.0,1.0
71,LS,1.0,0.0,1.0,1.0,1.0,0.0
72,TH,1.0,5.0,-4.0,-4.0,1.0,5.0
73,LY,2.0,0.0,2.0,2.0,2.0,0.0
74,AE,9.0,9.0,0.0,0.0,9.0,9.0
75,VE,0.0,1.0,-1.0,-1.0,0.0,1.0
76,IR,1.0,0.0,1.0,1.0,1.0,0.0
77,IT,5.0,11.0,-6.0,-6.0,5.0,11.0
78,VN,0.0,1.0,-1.0,-1.0,0.0,1.0
79,AR,0.0,13.0,-13.0,-13.0,0.0,13.0
80,AU,44.0,22.0,22.0,22.0,44.0,22.0
81,IL,3.0,3.0,0.0,0.0,3.0,3.0
82,IN,1.0,3.0,-2.0,-2.0,1.0,3.0
83,LB,4.0,2.0,2.0,2.0,4.0,2.0
84,IE,0.0,1.0,-1.0,-1.0,0.0,1.0
85,ID,2.0,6.0,-4.0,-4.0,2.0,6.0
86,CY,1.0,0.0,1.0,1.0,1.0,0.0
87,QA,6.0,3.0,3.0,3.0,6.0,3.0
