,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2458,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,GB,XX,,5.0,ivory carvings,,T,O
2459,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1.0,2.0,ivory carvings,,Q,O
2460,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,3.0,7.0,ivory carvings,,T,O
2461,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1.0,ivory carvings,sets,P,O
2462,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,10.0,ivory carvings,,T,O
2463,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,FR,XX,,2.0,ivory carvings,,Q,O
2464,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,FR,XX,,1.0,ivory carvings,,T,O
2465,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,1.0,ivory carvings,,Q,O
2466,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,XX,,43.0,ivory carvings,,P,O
2467,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,AU,XX,16.0,16.0,ivory carvings,,P,O
2468,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,1.0,,ivory carvings,,E,O
2469,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,US,XX,,1.0,ivory carvings,,Q,O
2470,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,FR,XX,,1.0,ivory carvings,,T,O
2471,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,2.0,ivory carvings,,Q,O
2472,2008,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,1.0,ivory carvings,,Q,W
