,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts,2006_net_import_counts,2006_import_counts,2006_export_counts,2007_net_import_counts,2007_import_counts,2007_export_counts,2008_net_import_counts,2008_import_counts,2008_export_counts,2009_net_import_counts,2009_import_counts,2009_export_counts,2010_net_import_counts,2010_import_counts,2010_export_counts,2011_net_import_counts,2011_import_counts,2011_export_counts,2012_net_import_counts,2012_import_counts,2012_export_counts,2013_net_import_counts,2013_import_counts,2013_export_counts,2014_net_import_counts,2014_import_counts,2014_export_counts,2015_net_import_counts,2015_import_counts,2015_export_counts
81,UG,1.0,5.0,-4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0
82,UA,22.0,3.0,19.0,-1.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
83,MX,69.0,55.0,14.0,4.0,4.0,0.0,-1.0,10.0,11.0,3.0,13.0,10.0,-4.0,5.0,9.0,1.0,5.0,4.0,5.0,8.0,3.0,-1.0,1.0,2.0,-2.0,2.0,4.0,2.0,2.0,0.0,4.0,6.0,2.0,3.0,13.0,10.0
84,IL,34.0,56.0,-22.0,-9.0,1.0,10.0,-7.0,3.0,10.0,-2.0,3.0,5.0,-1.0,1.0,2.0,0.0,3.0,3.0,4.0,4.0,0.0,-2.0,2.0,4.0,-4.0,2.0,6.0,-4.0,1.0,5.0,1.0,8.0,7.0,2.0,6.0,4.0
85,FR,381.0,622.0,-241.0,-35.0,41.0,76.0,-6.0,36.0,42.0,-10.0,52.0,62.0,-37.0,48.0,85.0,-1.0,23.0,24.0,-11.0,22.0,33.0,-9.0,24.0,33.0,-18.0,24.0,42.0,-5.0,32.0,37.0,-75.0,44.0,119.0,-34.0,35.0,69.0
86,FI,12.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-1.0,0.0,1.0,2.0,2.0,0.0
87,FJ,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,NL,65.0,151.0,-86.0,-12.0,5.0,17.0,-18.0,8.0,26.0,-3.0,6.0,9.0,-6.0,3.0,9.0,2.0,11.0,9.0,-7.0,5.0,12.0,-11.0,4.0,15.0,-8.0,1.0,9.0,-12.0,3.0,15.0,-7.0,11.0,18.0,-4.0,8.0,12.0
89,NO,41.0,30.0,11.0,-5.0,3.0,8.0,2.0,4.0,2.0,-1.0,1.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,4.0,2.0,-1.0,2.0,3.0,0.0,7.0,7.0,5.0,7.0,2.0
90,NA,5.0,14.0,-9.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-7.0,0.0,7.0,-1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
91,VU,0.0,3.0,-3.0,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,NC,9.0,10.0,-1.0,2.0,2.0,0.0,-5.0,1.0,6.0,0.0,2.0,2.0,2.0,2.0,0.0,-2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,NG,5.0,31.0,-26.0,-5.0,0.0,5.0,-3.0,0.0,3.0,-4.0,0.0,4.0,-1.0,1.0,2.0,-3.0,0.0,3.0,-2.0,0.0,2.0,-3.0,0.0,3.0,-1.0,1.0,2.0,-2.0,1.0,3.0,0.0,1.0,1.0,-2.0,1.0,3.0
94,NZ,170.0,206.0,-36.0,20.0,34.0,14.0,2.0,19.0,17.0,-1.0,17.0,18.0,2.0,27.0,25.0,-17.0,14.0,31.0,-13.0,12.0,25.0,-17.0,4.0,21.0,3.0,11.0,8.0,-17.0,7.0,24.0,0.0,20.0,20.0,2.0,5.0,3.0
95,CI,0.0,43.0,-43.0,-18.0,0.0,18.0,-3.0,0.0,3.0,-5.0,0.0,5.0,-2.0,0.0,2.0,-3.0,0.0,3.0,-2.0,0.0,2.0,-7.0,0.0,7.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0
96,CH,637.0,684.0,-47.0,-10.0,48.0,58.0,11.0,59.0,48.0,-30.0,56.0,86.0,-9.0,72.0,81.0,4.0,56.0,52.0,5.0,64.0,59.0,-6.0,64.0,70.0,10.0,69.0,59.0,-22.0,47.0,69.0,6.0,57.0,51.0,-6.0,45.0,51.0
97,CO,11.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,3.0,3.0,0.0,-1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
98,CN,397.0,100.0,297.0,13.0,27.0,14.0,20.0,25.0,5.0,19.0,25.0,6.0,22.0,31.0,9.0,22.0,25.0,3.0,21.0,28.0,7.0,36.0,43.0,7.0,32.0,37.0,5.0,23.0,33.0,10.0,48.0,65.0,17.0,41.0,58.0,17.0
99,CM,3.0,9.0,-6.0,-3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,CL,18.0,9.0,9.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,1.0,1.0,0.0,5.0,5.0,0.0,-1.0,3.0,4.0
101,CA,360.0,461.0,-101.0,4.0,42.0,38.0,3.0,35.0,32.0,-24.0,25.0,49.0,-5.0,20.0,25.0,-4.0,22.0,26.0,-16.0,20.0,36.0,-8.0,30.0,38.0,-17.0,33.0,50.0,-16.0,47.0,63.0,-3.0,51.0,54.0,-15.0,35.0,50.0
102,CF,0.0,5.0,-5.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,CD,0.0,2.0,-2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,CZ,29.0,14.0,15.0,3.0,6.0,3.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,4.0,6.0,2.0,-5.0,1.0,6.0
105,XX,46.0,54.0,-8.0,4.0,6.0,2.0,-5.0,0.0,5.0,-5.0,2.0,7.0,-1.0,3.0,4.0,-6.0,1.0,7.0,-1.0,2.0,3.0,1.0,3.0,2.0,-1.0,3.0,4.0,0.0,8.0,8.0,6.0,12.0,6.0,0.0,6.0,6.0
106,CX,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,CS,0.0,2.0,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,MA,16.0,7.0,9.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,-1.0,0.0,1.0,1.0,2.0,1.0,-1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0
109,XV,11.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,6.0,6.0,0.0
110,CU,5.0,17.0,-12.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-9.0,3.0,12.0,0.0,2.0,2.0
111,SY,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,KE,6.0,30.0,-24.0,-5.0,0.0,5.0,-1.0,2.0,3.0,-4.0,1.0,5.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-8.0,0.0,8.0,-1.0,0.0,1.0,3.0,3.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0
113,KH,2.0,8.0,-6.0,0.0,0.0,0.0,-2.0,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
114,SU,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,SK,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,KR,73.0,47.0,26.0,7.0,7.0,0.0,2.0,6.0,4.0,4.0,6.0,2.0,2.0,5.0,3.0,3.0,4.0,1.0,-2.0,7.0,9.0,2.0,9.0,7.0,-2.0,1.0,3.0,0.0,8.0,8.0,8.0,15.0,7.0,2.0,5.0,3.0
117,SI,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,KP,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,KW,32.0,18.0,14.0,5.0,6.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,7.0,3.0,-1.0,0.0,1.0,0.0,2.0,2.0,-3.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0
120,SN,1.0,6.0,-5.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0
121,SL,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,KZ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,1.0,1.0,0.0
123,SA,13.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
124,SG,166.0,54.0,112.0,-3.0,4.0,7.0,2.0,8.0,6.0,7.0,10.0,3.0,9.0,12.0,3.0,3.0,8.0,5.0,9.0,14.0,5.0,13.0,16.0,3.0,10.0,13.0,3.0,18.0,20.0,2.0,29.0,34.0,5.0,15.0,27.0,12.0
125,SE,12.0,15.0,-3.0,0.0,2.0,2.0,-2.0,0.0,2.0,-3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,-2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0
126,SD,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
127,DO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
128,DJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,DK,52.0,66.0,-14.0,1.0,9.0,8.0,0.0,6.0,6.0,-3.0,8.0,11.0,3.0,11.0,8.0,2.0,2.0,0.0,1.0,2.0,1.0,-7.0,1.0,8.0,-3.0,2.0,5.0,0.0,1.0,1.0,-7.0,2.0,9.0,-1.0,8.0,9.0
130,DE,312.0,520.0,-208.0,-17.0,44.0,61.0,-33.0,21.0,54.0,-25.0,33.0,58.0,-15.0,45.0,60.0,-26.0,25.0,51.0,-26.0,32.0,58.0,-14.0,25.0,39.0,-13.0,17.0,30.0,2.0,24.0,22.0,-19.0,25.0,44.0,-22.0,21.0,43.0
131,YE,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,DZ,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,US,2299.0,1165.0,1134.0,142.0,230.0,88.0,149.0,243.0,94.0,138.0,253.0,115.0,108.0,221.0,113.0,110.0,203.0,93.0,81.0,181.0,100.0,80.0,197.0,117.0,92.0,222.0,130.0,95.0,220.0,125.0,78.0,175.0,97.0,61.0,154.0,93.0
134,LB,23.0,14.0,9.0,-1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,-2.0,0.0,2.0,4.0,5.0,1.0
135,LA,1.0,3.0,-2.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,TW,92.0,19.0,73.0,9.0,10.0,1.0,9.0,12.0,3.0,5.0,8.0,3.0,6.0,9.0,3.0,2.0,3.0,1.0,8.0,8.0,0.0,7.0,7.0,0.0,6.0,8.0,2.0,3.0,5.0,2.0,9.0,12.0,3.0,9.0,10.0,1.0
137,TR,44.0,26.0,18.0,5.0,5.0,0.0,-1.0,2.0,3.0,1.0,3.0,2.0,0.0,6.0,6.0,4.0,5.0,1.0,2.0,5.0,3.0,-3.0,2.0,5.0,6.0,8.0,2.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,3.0,2.0
138,LK,6.0,5.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
139,LI,11.0,6.0,5.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
140,TN,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,2.0,1.0,1.0,0.0
141,LT,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,LU,4.0,3.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0
143,TJ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,LS,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,TH,24.0,37.0,-13.0,-1.0,2.0,3.0,-6.0,1.0,7.0,-1.0,1.0,2.0,-3.0,1.0,4.0,-4.0,1.0,5.0,-1.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,0.0,3.0,3.0,2.0,6.0,4.0,-1.0,0.0,1.0
146,TG,0.0,6.0,-6.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0
147,TC,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,LY,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,VA,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
150,AE,73.0,74.0,-1.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,9.0,7.0,6.0,14.0,8.0,0.0,9.0,9.0,4.0,7.0,3.0,-7.0,3.0,10.0,-4.0,5.0,9.0,0.0,3.0,3.0,-6.0,8.0,14.0,1.0,8.0,7.0
151,AD,5.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,AF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,IQ,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,IS,7.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,IR,11.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0
156,AM,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
157,IT,132.0,186.0,-54.0,-10.0,8.0,18.0,-3.0,14.0,17.0,2.0,12.0,10.0,0.0,12.0,12.0,-6.0,5.0,11.0,3.0,13.0,10.0,-4.0,11.0,15.0,3.0,18.0,15.0,-4.0,18.0,22.0,-26.0,9.0,35.0,-9.0,12.0,21.0
158,VN,11.0,34.0,-23.0,-1.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,-2.0,1.0,3.0,-1.0,0.0,1.0,-3.0,0.0,3.0,-4.0,1.0,5.0,-3.0,1.0,4.0,-3.0,2.0,5.0,0.0,4.0,4.0,-4.0,2.0,6.0
159,AN,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,AR,10.0,94.0,-84.0,-14.0,1.0,15.0,-14.0,3.0,17.0,0.0,3.0,3.0,-14.0,2.0,16.0,-13.0,0.0,13.0,-11.0,0.0,11.0,-5.0,0.0,5.0,-5.0,0.0,5.0,-6.0,0.0,6.0,0.0,1.0,1.0,-2.0,0.0,2.0
161,AU,279.0,269.0,10.0,1.0,26.0,25.0,4.0,23.0,19.0,-2.0,31.0,33.0,-11.0,29.0,40.0,22.0,44.0,22.0,-8.0,22.0,30.0,5.0,24.0,19.0,-35.0,12.0,47.0,2.0,16.0,14.0,20.0,29.0,9.0,12.0,23.0,11.0
162,AT,86.0,181.0,-95.0,-9.0,6.0,15.0,-2.0,9.0,11.0,-7.0,9.0,16.0,1.0,13.0,12.0,-4.0,5.0,9.0,-19.0,8.0,27.0,-16.0,4.0,20.0,-3.0,11.0,14.0,-11.0,6.0,17.0,-14.0,5.0,19.0,-11.0,10.0,21.0
163,IN,12.0,15.0,-3.0,0.0,2.0,2.0,-3.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,-2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,-1.0,0.0,1.0,-1.0,0.0,1.0
164,TZ,3.0,12.0,-9.0,-3.0,0.0,3.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0
165,IE,10.0,17.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,5.0,5.0,0.0,-1.0,0.0,1.0,-3.0,0.0,3.0,-3.0,0.0,3.0,-2.0,0.0,2.0,-2.0,0.0,2.0,0.0,1.0,1.0,-1.0,3.0,4.0
166,ID,23.0,39.0,-16.0,-1.0,1.0,2.0,0.0,1.0,1.0,-2.0,4.0,6.0,-1.0,2.0,3.0,-4.0,2.0,6.0,0.0,4.0,4.0,-2.0,3.0,5.0,-1.0,3.0,4.0,0.0,2.0,2.0,-1.0,0.0,1.0,-4.0,1.0,5.0
167,MY,10.0,5.0,5.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0
168,CY,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
169,QA,50.0,12.0,38.0,4.0,4.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,8.0,8.0,0.0,3.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,2.0,3.0,1.0,2.0,6.0,4.0,9.0,9.0,0.0
