,Country,Total imports,Total exports,Net imports,2007_net_import_counts,2007_import_counts,2007_export_counts
52,CN,25.0,6.0,19.0,19.0,25.0,6.0
53,CM,1.0,0.0,1.0,1.0,1.0,0.0
54,CA,25.0,49.0,-24.0,-24.0,25.0,49.0
55,CF,0.0,1.0,-1.0,-1.0,0.0,1.0
56,CZ,4.0,0.0,4.0,4.0,4.0,0.0
57,XX,2.0,7.0,-5.0,-5.0,2.0,7.0
58,MA,2.0,0.0,2.0,2.0,2.0,0.0
59,SY,1.0,1.0,0.0,0.0,1.0,1.0
60,KE,1.0,5.0,-4.0,-4.0,1.0,5.0
61,KH,0.0,1.0,-1.0,-1.0,0.0,1.0
62,KR,6.0,2.0,4.0,4.0,6.0,2.0
63,KW,1.0,0.0,1.0,1.0,1.0,0.0
64,SL,0.0,1.0,-1.0,-1.0,0.0,1.0
65,SA,3.0,0.0,3.0,3.0,3.0,0.0
66,SG,10.0,3.0,7.0,7.0,10.0,3.0
67,SE,0.0,3.0,-3.0,-3.0,0.0,3.0
68,SD,1.0,0.0,1.0,1.0,1.0,0.0
69,DK,8.0,11.0,-3.0,-3.0,8.0,11.0
70,DE,33.0,58.0,-25.0,-25.0,33.0,58.0
71,DZ,0.0,2.0,-2.0,-2.0,0.0,2.0
72,LB,3.0,1.0,2.0,2.0,3.0,1.0
73,TW,8.0,3.0,5.0,5.0,8.0,3.0
74,TR,3.0,2.0,1.0,1.0,3.0,2.0
75,LK,1.0,0.0,1.0,1.0,1.0,0.0
76,LI,2.0,0.0,2.0,2.0,2.0,0.0
77,TN,0.0,1.0,-1.0,-1.0,0.0,1.0
78,TH,1.0,2.0,-1.0,-1.0,1.0,2.0
79,LY,2.0,1.0,1.0,1.0,2.0,1.0
80,AE,9.0,7.0,2.0,2.0,9.0,7.0
81,AD,2.0,0.0,2.0,2.0,2.0,0.0
82,AF,0.0,1.0,-1.0,-1.0,0.0,1.0
83,IS,4.0,0.0,4.0,4.0,4.0,0.0
84,IT,12.0,10.0,2.0,2.0,12.0,10.0
85,AN,2.0,0.0,2.0,2.0,2.0,0.0
86,AR,3.0,3.0,0.0,0.0,3.0,3.0
87,AU,31.0,33.0,-2.0,-2.0,31.0,33.0
88,IL,3.0,5.0,-2.0,-2.0,3.0,5.0
89,IN,1.0,1.0,0.0,0.0,1.0,1.0
90,IE,0.0,1.0,-1.0,-1.0,0.0,1.0
91,ID,4.0,6.0,-2.0,-2.0,4.0,6.0
92,QA,6.0,0.0,6.0,6.0,6.0,0.0
93,MZ,0.0,2.0,-2.0,-2.0,0.0,2.0
