,Country,Total imports,Total exports,Net imports,2007_net_import_counts,2007_import_counts,2007_export_counts
0,BD,0.0,2.0,-2.0,-2.0,0.0,2.0
1,BE,9.0,18.0,-9.0,-9.0,9.0,18.0
2,BF,0.0,1.0,-1.0,-1.0,0.0,1.0
3,BG,2.0,0.0,2.0,2.0,2.0,0.0
4,JP,38.0,27.0,11.0,11.0,38.0,27.0
5,BI,0.0,2.0,-2.0,-2.0,0.0,2.0
6,BR,6.0,5.0,1.0,1.0,6.0,5.0
7,JE,0.0,6.0,-6.0,-6.0,0.0,6.0
8,RU,25.0,14.0,11.0,11.0,25.0,14.0
9,GR,5.0,0.0,5.0,5.0,5.0,0.0
10,GG,1.0,1.0,0.0,0.0,1.0,1.0
11,GF,0.0,1.0,-1.0,-1.0,0.0,1.0
12,GB,76.0,115.0,-39.0,-39.0,76.0,115.0
13,GA,0.0,2.0,-2.0,-2.0,0.0,2.0
14,GN,0.0,1.0,-1.0,-1.0,0.0,1.0
15,GL,1.0,0.0,1.0,1.0,1.0,0.0
16,PH,0.0,2.0,-2.0,-2.0,0.0,2.0
17,GH,0.0,1.0,-1.0,-1.0,0.0,1.0
18,OM,0.0,1.0,-1.0,-1.0,0.0,1.0
19,HU,1.0,1.0,0.0,0.0,1.0,1.0
20,HK,18.0,9.0,9.0,9.0,18.0,9.0
21,PT,3.0,19.0,-16.0,-16.0,3.0,19.0
22,PA,1.0,0.0,1.0,1.0,1.0,0.0
23,PE,0.0,1.0,-1.0,-1.0,0.0,1.0
24,AT,9.0,16.0,-7.0,-7.0,9.0,16.0
25,PL,2.0,3.0,-1.0,-1.0,2.0,3.0
26,ZM,0.0,1.0,-1.0,-1.0,0.0,1.0
27,EG,1.0,0.0,1.0,1.0,1.0,0.0
28,ZA,5.0,29.0,-24.0,-24.0,5.0,29.0
29,ZW,0.0,6.0,-6.0,-6.0,0.0,6.0
30,ES,9.0,1.0,8.0,8.0,9.0,1.0
31,UY,1.0,8.0,-7.0,-7.0,1.0,8.0
32,MC,1.0,2.0,-1.0,-1.0,1.0,2.0
33,MO,1.0,0.0,1.0,1.0,1.0,0.0
34,US,253.0,115.0,138.0,138.0,253.0,115.0
35,MU,1.0,0.0,1.0,1.0,1.0,0.0
36,MT,1.0,0.0,1.0,1.0,1.0,0.0
37,MW,0.0,3.0,-3.0,-3.0,0.0,3.0
38,MQ,2.0,0.0,2.0,2.0,2.0,0.0
39,UA,4.0,0.0,4.0,4.0,4.0,0.0
40,MX,13.0,10.0,3.0,3.0,13.0,10.0
41,VU,0.0,2.0,-2.0,-2.0,0.0,2.0
42,FR,52.0,62.0,-10.0,-10.0,52.0,62.0
43,FI,2.0,2.0,0.0,0.0,2.0,2.0
44,NL,6.0,9.0,-3.0,-3.0,6.0,9.0
45,NO,1.0,2.0,-1.0,-1.0,1.0,2.0
46,NA,0.0,1.0,-1.0,-1.0,0.0,1.0
47,NC,2.0,2.0,0.0,0.0,2.0,2.0
48,NG,0.0,4.0,-4.0,-4.0,0.0,4.0
49,NZ,17.0,18.0,-1.0,-1.0,17.0,18.0
50,CI,0.0,5.0,-5.0,-5.0,0.0,5.0
51,CH,56.0,86.0,-30.0,-30.0,56.0,86.0
