,Country,2005_import_counts,2006_import_counts,2007_import_counts,2008_import_counts,2009_import_counts,2010_import_counts,2011_import_counts,2012_import_counts,2013_import_counts,2014_import_counts,2015_import_counts,2005_export_counts,2006_export_counts,2007_export_counts,2008_export_counts,2009_export_counts,2010_export_counts,2011_export_counts,2012_export_counts,2013_export_counts,2014_export_counts,2015_export_counts
42,HT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,HU,3,4,1,1,1,0,2,3,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
44,HK,21,18,18,15,16,34,51,51,46,56,28,11.0,14.0,9.0,14.0,8.0,6.0,8.0,18.0,18.0,9.0,7.0
45,HN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,VE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
47,PW,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,PT,12,5,3,13,5,4,6,3,0,0,3,4.0,9.0,19.0,7.0,8.0,12.0,8.0,9.0,3.0,11.0,11.0
49,PY,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,PA,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
51,PF,0,1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,PG,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,PE,0,1,0,1,1,0,0,0,1,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
54,PK,0,0,0,0,1,2,3,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,PH,0,0,0,0,0,1,0,0,6,2,2,5.0,4.0,2.0,2.0,3.0,0.0,1.0,0.0,9.0,0.0,0.0
56,PL,2,0,2,7,3,4,4,3,5,6,3,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0,4.0
57,ZM,0,0,0,0,1,0,3,1,0,0,0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
58,EG,0,1,1,4,1,1,1,0,3,0,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
59,ZA,4,3,5,9,4,3,3,3,3,5,1,30.0,21.0,29.0,29.0,19.0,16.0,23.0,15.0,16.0,40.0,9.0
60,AL,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AO,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
62,ET,0,0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
63,SO,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,ZW,0,0,0,0,1,0,0,1,0,0,0,11.0,16.0,6.0,27.0,50.0,41.0,35.0,48.0,30.0,11.0,0.0
65,KY,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,ES,16,16,9,12,4,9,5,5,3,4,3,2.0,9.0,1.0,14.0,2.0,2.0,6.0,4.0,8.0,15.0,13.0
67,ER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,MG,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,UY,1,0,1,0,0,0,0,0,0,1,1,10.0,7.0,8.0,4.0,0.0,0.0,1.0,4.0,3.0,6.0,4.0
70,MC,10,3,1,2,0,1,1,2,0,3,1,11.0,4.0,2.0,1.0,1.0,1.0,8.0,0.0,4.0,2.0,2.0
71,MM,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,MO,2,1,1,1,1,0,3,4,5,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
73,MN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,MK,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,MU,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,MT,2,0,1,0,0,1,2,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,MW,0,0,0,0,0,0,4,0,0,0,0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0
78,MQ,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,MR,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,IM,2,0,0,0,0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,UG,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
82,UA,0,2,4,5,1,1,0,4,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
83,MX,4,10,13,5,5,8,1,2,2,6,13,0.0,11.0,10.0,9.0,4.0,3.0,2.0,4.0,0.0,2.0,10.0
84,IL,1,3,3,1,3,4,2,2,1,8,6,10.0,10.0,5.0,2.0,3.0,0.0,4.0,6.0,5.0,7.0,4.0
85,FR,41,36,52,48,23,22,24,24,32,44,35,76.0,42.0,62.0,85.0,24.0,33.0,33.0,42.0,37.0,119.0,69.0
86,FI,0,3,2,0,1,1,0,0,3,0,2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,FJ,0,0,0,1,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,NL,5,8,6,3,11,5,4,1,3,11,8,17.0,26.0,9.0,9.0,9.0,12.0,15.0,9.0,15.0,18.0,12.0
89,NO,3,4,1,3,6,0,4,4,2,7,7,8.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,7.0,2.0
90,NA,0,0,0,0,1,1,0,1,0,2,0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
91,VU,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,NC,2,1,2,2,0,1,1,0,0,0,0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
93,NG,0,0,0,1,0,0,0,1,1,1,1,5.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0
94,NZ,34,19,17,27,14,12,4,11,7,20,5,14.0,17.0,18.0,25.0,31.0,25.0,21.0,8.0,24.0,20.0,3.0
95,CI,0,0,0,0,0,0,0,0,0,0,0,18.0,3.0,5.0,2.0,3.0,2.0,7.0,1.0,1.0,0.0,1.0
96,CH,48,59,56,72,56,64,64,69,47,57,45,58.0,48.0,86.0,81.0,52.0,59.0,70.0,59.0,69.0,51.0,51.0
97,CO,0,2,0,3,0,0,0,3,0,2,1,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
98,CN,27,25,25,31,25,28,43,37,33,65,58,14.0,5.0,6.0,9.0,3.0,7.0,7.0,5.0,10.0,17.0,17.0
99,CM,0,1,1,0,1,0,0,0,0,0,0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
100,CL,1,3,0,3,0,2,0,0,1,5,3,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
