"","unique.base.edge.","source","target","f2005","f2006","f2007","f2008","f2009","f2010","f2011","f2012","f2013","f2014","f2015","w2005","w2006","w2007","w2008","w2009","w2010","w2011","w2012","w2013","w2014","w2015","f_tot"
"5145","GR-PL","GR","PL",3,0,0,0,3,0,0,0,0,0,0,1.86138859589254e-05,0,0,0,1.8718879862229e-05,0,0,0,0,0,0,6
"5146","GL-LV","GL","LV",4,0,0,0,0,2,0,0,0,0,2,2.48185146119005e-05,0,0,0,0,1.22786014672929e-05,0,0,0,0,1.53501366162159e-05,8
"5147","GL-NA","GL","NA",2,0,0,0,0,0,0,0,0,0,2,1.24092573059502e-05,0,0,0,0,0,0,0,0,0,1.53501366162159e-05,4
"5148","GL-RO","GL","RO",1,0,0,0,0,0,0,0,0,1,1,6.20462865297512e-06,0,0,0,0,0,0,0,0,6.10135572124126e-06,7.67506830810794e-06,3
"5149","GN-IT","GN","IT",44,0,0,0,0,0,0,0,0,0,0,0.000273003660730905,0,0,0,0,0,0,0,0,0,0,44
"5150","GL-MY","GL","MY",2,2,0,0,2,0,0,0,0,0,2,1.24092573059502e-05,1.3159626266614e-05,0,0,1.2479253241486e-05,0,0,0,0,0,1.53501366162159e-05,8
"5151","GL-SZ","GL","SZ",2,2,0,0,0,0,0,0,0,2,0,1.24092573059502e-05,1.3159626266614e-05,0,0,0,0,0,0,0,1.22027114424825e-05,0,6
"5152","GP-MQ","GP","MQ",0,2,0,0,0,0,0,0,0,0,0,0,1.3159626266614e-05,0,0,0,0,0,0,0,0,0,2
"5153","GY-TT","GY","TT",0,2,0,0,0,0,2,0,0,0,0,0,1.3159626266614e-05,0,0,0,0,1.22462725407954e-05,0,0,0,0,4
"5154","GY-TW","GY","TW",0,12,12,10,12,8,8,12,12,0,4,0,7.89577575996842e-05,7.55348813787634e-05,6.09095006639136e-05,7.48755194489162e-05,4.91144058691715e-05,4.89850901631816e-05,6.41255150080424e-05,6.88132580210454e-05,0,3.07002732324318e-05,90
"5155","GT-CH","GT","CH",0,4,6,4,2,8,6,6,2,116,0,0,2.63192525332281e-05,3.77674406893817e-05,2.43638002655654e-05,1.2479253241486e-05,4.91144058691715e-05,3.67388176223862e-05,3.20627575040212e-05,1.14688763368409e-05,0.000707757263663986,0,154
"5156","GT-KR","GT","KR",0,2,1,1,2,2,2,0,1,0,0,0,1.3159626266614e-05,6.29457344823028e-06,6.09095006639136e-06,1.2479253241486e-05,1.22786014672929e-05,1.22462725407954e-05,0,5.73443816842045e-06,0,0,11
"5157","GT-ZA","GT","ZA",0,4,4,0,0,0,0,0,4,4,0,0,2.63192525332281e-05,2.51782937929211e-05,0,0,0,0,0,2.29377526736818e-05,2.4405422884965e-05,0,16
"5158","GT-NZ","GT","NZ",0,4,2,2,0,6,4,0,0,0,0,0,2.63192525332281e-05,1.25891468964606e-05,1.21819001327827e-05,0,3.68358044018786e-05,2.44925450815908e-05,0,0,0,0,18
"5159","GL-GL","GL","GL",0,18,0,0,0,0,0,0,0,0,0,0,0.000118436636399526,0,0,0,0,0,0,0,0,0,18
"5160","GL-NE","GL","NE",0,4,0,0,0,0,0,0,0,0,0,0,2.63192525332281e-05,0,0,0,0,0,0,0,0,0,4
"5161","GL-TW","GL","TW",0,8,0,0,0,0,0,0,2,2,2,0,5.26385050664561e-05,0,0,0,0,0,0,1.14688763368409e-05,1.22027114424825e-05,1.53501366162159e-05,14
