,Country,bet,clo,eig
0,BE,0.000890542370206,0.355907299806,0.115723641591
1,BG,0.0,0.010752688172,0.0
2,BH,0.0,0.271344333779,0.0
3,JO,0.000233754090697,0.2106657179,0.0011770966681
4,BR,0.000128564749883,0.360384121188,0.000966856334419
5,JE,0.000133491919442,0.266516629157,0.0368820927274
6,RU,0.00449870250892,0.397924133811,0.063292136169
7,RO,0.0,0.0,0.00852200595268
8,GW,0.0,0.0,0.000727071574069
9,GR,0.00732429484183,0.339059616975,0.039607755895
10,JP,0.00950440988139,0.409293394777,0.105721580879
11,GB,0.108955551935,0.400706820062,0.470649166783
12,GN,0.0,0.0,0.00914162019743
13,GM,0.0,0.0,0.00841454862336
14,GL,0.0,0.0,0.00108288285603
15,GH,0.0,0.0,0.00852200595268
16,IL,0.0,0.267762033966,0.0170440119054
17,HU,0.0,0.338400692127,0.0
18,HK,0.00234947602252,0.379477319661,0.114156177429
19,PT,0.0180782925606,0.376980758347,0.0371125521791
20,LV,0.0,0.010752688172,0.0
21,PF,0.0,0.271344333779,0.0
22,PG,0.0,0.267644183773,0.0
23,PE,0.0,0.247402186681,0.0
24,PH,0.0,0.0,0.0177425291345
25,PL,0.000562122932389,0.353710341166,0.00702086901848
26,ZM,0.0,0.0,0.00865955260426
27,EG,0.000367327856809,0.30000562968,0.00127744368736
28,ZA,0.00719989211026,0.339059616975,0.1524447167
29,VN,0.0,0.249135109864,0.00902183179587
30,ET,0.0,0.0,0.00852200595268
31,ZW,0.0,0.0,0.0591927581636
32,ES,0.0160675997594,0.355907299806,0.0495869633995
33,ER,0.0,0.0,0.00142019196937
34,UY,0.0,0.0,0.0123942560834
35,MC,0.000146096306685,0.28366868945,0.00841454862336
36,MO,0.0,0.010752688172,0.0
37,US,0.274950010498,0.573010752688,0.434973315887
38,MW,0.0,0.0,0.00922052318184
39,UG,0.0,0.0,0.00852200595268
40,UA,0.0,0.279060286399,0.0
41,MX,0.000334691601914,0.278160559557,0.0733111164553
42,MZ,0.0,0.0,0.0134822608191
43,FR,0.0679485508025,0.400706820062,0.429507815363
44,MA,0.0,0.0,0.00513506883387
45,FJ,0.0,0.267644183773,0.0
46,NL,0.000387009748861,0.276816788738,0.0603244588147
47,NO,0.0,0.266516629157,0.00922052318184
48,NA,0.0,0.0,0.0363006020696
49,NC,0.0,0.271344333779,0.0
50,NG,0.0,0.333145786447,0.0177425291345
51,NZ,0.0271124103278,0.39247311828,0.141847046368
52,CI,0.0,0.0,0.0168290972467
53,CH,0.0768955919171,0.424452409399,0.35835576502
54,CO,0.0,0.274167824253,0.00852200595268
55,CN,0.0113369336114,0.39517982944,0.0493509284152
56,CL,7.0126227209e-05,0.286505376344,0.0113010460969
57,CA,0.0092620285875,0.387169427492,0.156836788157
58,CD,0.0,0.0,0.00852200595268
59,XX,0.0100821838787,0.286505376344,0.004806616023
60,CR,0.0,0.281730719761,0.0
61,CU,0.0,0.0,0.000971462497579
62,SY,0.0,0.248446077764,0.0
63,KE,0.0,0.0,0.00446283562635
64,SK,0.0,0.0,0.00852200595268
65,KR,0.0,0.351540339072,0.0240648809238
66,KW,0.00231634359233,0.323734888524,0.020677943805
67,SN,0.0,0.0,0.00852200595268
68,KY,0.0,0.271344333779,0.0
69,SG,0.00877857922037,0.362665033347,0.0127564802637
70,SE,0.0,0.333145786447,0.025566017858
71,DK,0.00724637681159,0.339059616975,0.0552745781165
72,DE,0.0373574700273,0.400706820062,0.262112568792
73,LB,0.0,0.351540339072,0.0221790807392
74,TW,0.000337359383643,0.382007168459,0.0183214555927
75,TR,0.00131479638032,0.303180292428,0.0441432468198
76,LK,0.0,0.010752688172,0.0
77,LI,0.0,0.0,0.00768995620859
78,TN,0.0,0.254671445639,0.00108292701283
79,LU,0.0,0.338400692127,0.0
80,TH,0.0,0.278160559557,0.0340880238107
81,TG,0.0,0.0,0.00702086901848
82,AE,0.0217640883286,0.374516831822,0.0552741407403
83,IT,0.0159398027561,0.351540339072,0.0724920783661
84,AO,0.0,0.0,0.000727071574069
85,AR,0.00992505338166,0.34939680042,0.0843999888783
86,AU,0.0268582952848,0.39247311828,0.207113440076
87,AT,0.0127811679682,0.362665033347,0.0652054317533
88,IN,0.0,0.268866303334,0.0
89,TZ,0.0,0.0,0.000775955820299
90,IE,0.0,0.350486431132,0.0
91,ID,0.0,0.333145786447,0.025566017858
92,MY,0.0,0.288635884461,0.0
93,QA,0.0,0.325313372542,0.0
