,Country,Total imports,Total exports,Net imports,2008_net_import_counts,2008_import_counts,2008_export_counts
53,CN,31.0,9.0,22.0,22.0,31.0,9.0
54,CL,3.0,2.0,1.0,1.0,3.0,2.0
55,CA,20.0,25.0,-5.0,-5.0,20.0,25.0
56,CD,0.0,1.0,-1.0,-1.0,0.0,1.0
57,XX,3.0,4.0,-1.0,-1.0,3.0,4.0
58,CR,1.0,0.0,1.0,1.0,1.0,0.0
59,CU,0.0,1.0,-1.0,-1.0,0.0,1.0
60,SY,1.0,0.0,1.0,1.0,1.0,0.0
61,KE,0.0,2.0,-2.0,-2.0,0.0,2.0
62,SK,0.0,1.0,-1.0,-1.0,0.0,1.0
63,KR,5.0,3.0,2.0,2.0,5.0,3.0
64,KW,7.0,3.0,4.0,4.0,7.0,3.0
65,SN,0.0,1.0,-1.0,-1.0,0.0,1.0
66,KY,1.0,0.0,1.0,1.0,1.0,0.0
67,SG,12.0,3.0,9.0,9.0,12.0,3.0
68,SE,3.0,3.0,0.0,0.0,3.0,3.0
69,DK,11.0,8.0,3.0,3.0,11.0,8.0
70,DE,45.0,60.0,-15.0,-15.0,45.0,60.0
71,AT,13.0,12.0,1.0,1.0,13.0,12.0
72,UY,0.0,4.0,-4.0,-4.0,0.0,4.0
73,LB,3.0,3.0,0.0,0.0,3.0,3.0
74,TW,9.0,3.0,6.0,6.0,9.0,3.0
75,TR,6.0,6.0,0.0,0.0,6.0,6.0
76,LK,1.0,0.0,1.0,1.0,1.0,0.0
77,LI,0.0,3.0,-3.0,-3.0,0.0,3.0
78,LV,1.0,0.0,1.0,1.0,1.0,0.0
79,LU,1.0,0.0,1.0,1.0,1.0,0.0
80,TH,1.0,4.0,-3.0,-3.0,1.0,4.0
81,TG,0.0,1.0,-1.0,-1.0,0.0,1.0
82,AE,14.0,8.0,6.0,6.0,14.0,8.0
83,IT,12.0,12.0,0.0,0.0,12.0,12.0
84,VN,1.0,3.0,-2.0,-2.0,1.0,3.0
85,AR,2.0,16.0,-14.0,-14.0,2.0,16.0
86,AU,29.0,40.0,-11.0,-11.0,29.0,40.0
87,IL,1.0,2.0,-1.0,-1.0,1.0,2.0
88,IN,2.0,0.0,2.0,2.0,2.0,0.0
89,TZ,0.0,1.0,-1.0,-1.0,0.0,1.0
90,IE,5.0,0.0,5.0,5.0,5.0,0.0
91,ID,2.0,3.0,-1.0,-1.0,2.0,3.0
92,MY,3.0,0.0,3.0,3.0,3.0,0.0
93,QA,8.0,0.0,8.0,8.0,8.0,0.0
