,Country,Total imports,Total exports,Net imports,2008_net_import_counts,2008_import_counts,2008_export_counts
0,BE,11.0,18.0,-7.0,-7.0,11.0,18.0
1,BG,1.0,0.0,1.0,1.0,1.0,0.0
2,JP,32.0,15.0,17.0,17.0,32.0,15.0
3,JO,1.0,2.0,-1.0,-1.0,1.0,2.0
4,BR,4.0,1.0,3.0,3.0,4.0,1.0
5,JE,2.0,5.0,-3.0,-3.0,2.0,5.0
6,RU,24.0,9.0,15.0,15.0,24.0,9.0
7,RO,0.0,1.0,-1.0,-1.0,0.0,1.0
8,GW,0.0,1.0,-1.0,-1.0,0.0,1.0
9,GR,4.0,5.0,-1.0,-1.0,4.0,5.0
10,BH,1.0,0.0,1.0,1.0,1.0,0.0
11,GB,74.0,116.0,-42.0,-42.0,74.0,116.0
12,GN,0.0,2.0,-2.0,-2.0,0.0,2.0
13,GM,0.0,1.0,-1.0,-1.0,0.0,1.0
14,GL,0.0,1.0,-1.0,-1.0,0.0,1.0
15,GH,0.0,1.0,-1.0,-1.0,0.0,1.0
16,TN,1.0,1.0,0.0,0.0,1.0,1.0
17,HU,1.0,0.0,1.0,1.0,1.0,0.0
18,HK,15.0,14.0,1.0,1.0,15.0,14.0
19,PT,13.0,7.0,6.0,6.0,13.0,7.0
20,PF,2.0,0.0,2.0,2.0,2.0,0.0
21,PG,1.0,0.0,1.0,1.0,1.0,0.0
22,PE,1.0,0.0,1.0,1.0,1.0,0.0
23,PH,0.0,2.0,-2.0,-2.0,0.0,2.0
24,PL,7.0,1.0,6.0,6.0,7.0,1.0
25,ZM,0.0,2.0,-2.0,-2.0,0.0,2.0
26,EG,4.0,1.0,3.0,3.0,4.0,1.0
27,ZA,9.0,29.0,-20.0,-20.0,9.0,29.0
28,AO,0.0,1.0,-1.0,-1.0,0.0,1.0
29,ET,0.0,1.0,-1.0,-1.0,0.0,1.0
30,ZW,0.0,27.0,-27.0,-27.0,0.0,27.0
31,ES,12.0,14.0,-2.0,-2.0,12.0,14.0
32,ER,0.0,1.0,-1.0,-1.0,0.0,1.0
33,MA,0.0,1.0,-1.0,-1.0,0.0,1.0
34,MC,2.0,1.0,1.0,1.0,2.0,1.0
35,MO,1.0,0.0,1.0,1.0,1.0,0.0
36,US,221.0,113.0,108.0,108.0,221.0,113.0
37,MW,0.0,2.0,-2.0,-2.0,0.0,2.0
38,UG,0.0,1.0,-1.0,-1.0,0.0,1.0
39,UA,5.0,0.0,5.0,5.0,5.0,0.0
40,MX,5.0,9.0,-4.0,-4.0,5.0,9.0
41,MZ,0.0,5.0,-5.0,-5.0,0.0,5.0
42,FR,48.0,85.0,-37.0,-37.0,48.0,85.0
43,FJ,1.0,0.0,1.0,1.0,1.0,0.0
44,NL,3.0,9.0,-6.0,-6.0,3.0,9.0
45,NO,3.0,1.0,2.0,2.0,3.0,1.0
46,NA,0.0,7.0,-7.0,-7.0,0.0,7.0
47,NC,2.0,0.0,2.0,2.0,2.0,0.0
48,NG,1.0,2.0,-1.0,-1.0,1.0,2.0
49,NZ,27.0,25.0,2.0,2.0,27.0,25.0
50,CI,0.0,2.0,-2.0,-2.0,0.0,2.0
51,CH,72.0,81.0,-9.0,-9.0,72.0,81.0
52,CO,3.0,1.0,2.0,2.0,3.0,1.0
