,Country,Total imports,Total exports,Net imports,2015_net_import_counts,2015_import_counts,2015_export_counts
0,BE,9.0,30.0,-21.0,-21.0,9.0,30.0
1,FR,35.0,69.0,-34.0,-34.0,35.0,69.0
2,DK,8.0,9.0,-1.0,-1.0,8.0,9.0
3,ET,0.0,1.0,-1.0,-1.0,0.0,1.0
4,DE,21.0,43.0,-22.0,-22.0,21.0,43.0
5,JP,46.0,21.0,25.0,25.0,46.0,21.0
6,BJ,1.0,0.0,1.0,1.0,1.0,0.0
7,HU,2.0,0.0,2.0,2.0,2.0,0.0
8,HK,28.0,7.0,21.0,21.0,28.0,7.0
9,JE,0.0,7.0,-7.0,-7.0,0.0,7.0
10,BR,3.0,1.0,2.0,2.0,3.0,1.0
11,CR,0.0,1.0,-1.0,-1.0,0.0,1.0
12,FI,2.0,0.0,2.0,2.0,2.0,0.0
13,UY,1.0,4.0,-3.0,-3.0,1.0,4.0
14,NG,1.0,3.0,-2.0,-2.0,1.0,3.0
15,GR,2.0,0.0,2.0,2.0,2.0,0.0
16,RU,12.0,4.0,8.0,8.0,12.0,4.0
17,LB,5.0,1.0,4.0,4.0,5.0,1.0
18,PT,3.0,11.0,-8.0,-8.0,3.0,11.0
19,NO,7.0,2.0,5.0,5.0,7.0,2.0
20,CO,1.0,0.0,1.0,1.0,1.0,0.0
21,TW,10.0,1.0,9.0,9.0,10.0,1.0
22,TR,3.0,2.0,1.0,1.0,3.0,2.0
23,GE,0.0,1.0,-1.0,-1.0,0.0,1.0
24,LI,1.0,0.0,1.0,1.0,1.0,0.0
25,TN,1.0,0.0,1.0,1.0,1.0,0.0
26,GI,0.0,2.0,-2.0,-2.0,0.0,2.0
27,NZ,5.0,3.0,2.0,2.0,5.0,3.0
28,LU,0.0,1.0,-1.0,-1.0,0.0,1.0
29,CU,2.0,2.0,0.0,0.0,2.0,2.0
30,TH,0.0,1.0,-1.0,-1.0,0.0,1.0
31,BS,0.0,3.0,-3.0,-3.0,0.0,3.0
32,PH,2.0,0.0,2.0,2.0,2.0,0.0
33,EG,1.0,0.0,1.0,1.0,1.0,0.0
34,PL,3.0,4.0,-1.0,-1.0,3.0,4.0
35,ZM,0.0,1.0,-1.0,-1.0,0.0,1.0
36,CI,0.0,1.0,-1.0,-1.0,0.0,1.0
37,CH,45.0,51.0,-6.0,-6.0,45.0,51.0
38,AE,8.0,7.0,1.0,1.0,8.0,7.0
39,CN,58.0,17.0,41.0,41.0,58.0,17.0
40,CL,3.0,4.0,-1.0,-1.0,3.0,4.0
41,BH,1.0,0.0,1.0,1.0,1.0,0.0
42,CA,35.0,50.0,-15.0,-15.0,35.0,50.0
43,IR,1.0,0.0,1.0,1.0,1.0,0.0
44,AM,3.0,1.0,2.0,2.0,3.0,1.0
45,IT,12.0,21.0,-9.0,-9.0,12.0,21.0
46,VN,2.0,6.0,-4.0,-4.0,2.0,6.0
47,ZA,1.0,9.0,-8.0,-8.0,1.0,9.0
48,GG,0.0,3.0,-3.0,-3.0,0.0,3.0
49,CZ,1.0,6.0,-5.0,-5.0,1.0,6.0
50,XX,6.0,6.0,0.0,0.0,6.0,6.0
51,AR,0.0,2.0,-2.0,-2.0,0.0,2.0
52,AU,23.0,11.0,12.0,12.0,23.0,11.0
53,GB,49.0,99.0,-50.0,-50.0,49.0,99.0
54,GA,1.0,1.0,0.0,0.0,1.0,1.0
55,IN,0.0,1.0,-1.0,-1.0,0.0,1.0
56,BA,0.0,1.0,-1.0,-1.0,0.0,1.0
57,NL,8.0,12.0,-4.0,-4.0,8.0,12.0
58,GL,0.0,4.0,-4.0,-4.0,0.0,4.0
59,IE,3.0,4.0,-1.0,-1.0,3.0,4.0
60,ID,1.0,5.0,-4.0,-4.0,1.0,5.0
61,ES,3.0,13.0,-10.0,-10.0,3.0,13.0
62,OM,1.0,0.0,1.0,1.0,1.0,0.0
63,MA,4.0,2.0,2.0,2.0,4.0,2.0
64,MC,1.0,2.0,-1.0,-1.0,1.0,2.0
65,XV,6.0,0.0,6.0,6.0,6.0,0.0
66,UA,1.0,0.0,1.0,1.0,1.0,0.0
67,IL,6.0,4.0,2.0,2.0,6.0,4.0
68,KH,0.0,1.0,-1.0,-1.0,0.0,1.0
69,MY,1.0,1.0,0.0,0.0,1.0,1.0
70,US,154.0,93.0,61.0,61.0,154.0,93.0
71,MX,13.0,10.0,3.0,3.0,13.0,10.0
72,QA,9.0,0.0,9.0,9.0,9.0,0.0
73,KR,5.0,3.0,2.0,2.0,5.0,3.0
74,KW,4.0,2.0,2.0,2.0,4.0,2.0
75,UG,0.0,1.0,-1.0,-1.0,0.0,1.0
76,AO,0.0,1.0,-1.0,-1.0,0.0,1.0
77,KZ,1.0,0.0,1.0,1.0,1.0,0.0
78,SA,2.0,1.0,1.0,1.0,2.0,1.0
79,TZ,0.0,1.0,-1.0,-1.0,0.0,1.0
80,SG,27.0,12.0,15.0,15.0,27.0,12.0
81,MO,3.0,2.0,1.0,1.0,3.0,2.0
82,SE,1.0,1.0,0.0,0.0,1.0,1.0
83,AT,10.0,21.0,-11.0,-11.0,10.0,21.0
