,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
836,2006,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,DE,CH,XX,1.0,,ivory carvings,,T,O
837,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AR,GB,XX,,7.0,ivory carvings,,T,U
838,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1.0,,ivory carvings,sets,T,O
839,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,1.0,ivory carvings,,T,O
840,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,JP,XX,,8.0,ivory carvings,,Q,O
841,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,1.0,ivory carvings,,T,O
842,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,US,XX,,3.0,ivory carvings,,P,W
843,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,VU,XX,,12.0,ivory carvings,,P,O
844,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,3.0,ivory pieces,,P,O
845,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,AU,XX,1.0,,ivory carvings,,P,O
846,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,1.0,,ivory carvings,,P,O
847,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,1.0,ivory carvings,,T,O
848,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,1.0,1.0,ivory carvings,,T,O
849,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,CA,1.0,,ivory carvings,,L,I
850,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1.0,ivory carvings,sets,P,O
851,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,2.0,,ivory carvings,,P,O
852,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1.0,ivory carvings,,S,I
853,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,1.0,,ivory carvings,,P,O
854,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,IN,2.0,1.0,ivory carvings,,T,O
855,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,1.0,2.0,ivory carvings,,T,O
856,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,1.0,1.0,ivory carvings,,P,O
857,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,2.0,ivory carvings,kg,T,O
858,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1.0,ivory carvings,sets,P,O
859,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2.0,2.0,ivory carvings,,E,O
860,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1.0,ivory carvings,,P,U
861,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2.0,3.0,ivory carvings,,T,O
862,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,1.0,,ivory pieces,,P,O
863,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,2.0,4.0,ivory carvings,,T,O
864,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1.0,,ivory carvings,sets,P,O
865,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1.0,,ivory carvings,sets,T,O
866,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,,1.0,ivory carvings,,Q,O
867,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,,1.0,ivory pieces,,P,O
868,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1.0,,ivory pieces,,Q,O
869,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,1.0,,ivory carvings,,Q,O
870,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SG,XX,,1.0,ivory carvings,,Q,O
871,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SG,XX,1.0,,ivory carvings,,T,O
872,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,1.0,,ivory carvings,,Q,O
873,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,,2.0,ivory carvings,,Q,U
874,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,25.0,,ivory carvings,,T,O
875,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,BR,XX,2.0,2.0,ivory carvings,,P,O
876,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,XX,,39.0,ivory carvings,,T,O
877,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,IT,XX,,1.0,ivory pieces,,E,O
878,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,JP,XX,16.0,16.0,ivory carvings,pairs,Q,O
879,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,NL,XX,,1.0,ivory carvings,,T,O
880,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CO,US,XX,,2.0,ivory carvings,,Q,O
881,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,US,XX,2.0,,ivory carvings,,E,O
882,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,KE,,1.0,ivory carvings,,T,O
883,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7.0,,ivory carvings,sets,P,O
884,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,4.0,1.0,ivory carvings,sets,T,O
885,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,1.0,73.0,ivory carvings,,T,O
886,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,US,XX,,1.0,ivory carvings,,E,U
887,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,US,XX,1.0,,ivory carvings,,Q,O
888,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GL,XX,27.0,28.0,ivory carvings,,P,W
889,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KW,XX,,4.0,ivory carvings,,E,I
890,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NO,XX,1.0,,ivory carvings,,P,O
891,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,,1.0,ivory carvings,,Q,O
892,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,CH,XX,2.0,,ivory carvings,,P,O
893,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,CH,XX,,5.0,ivory carvings,,T,O
894,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,RU,XX,4.0,,ivory carvings,,Q,O
895,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FI,RU,,8.0,,ivory carvings,,Q,O
896,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,AU,XX,,1.0,ivory carvings,,P,O
897,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,4.0,,ivory carvings,sets,P,O
898,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,4.0,14.0,ivory carvings,,T,O
899,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,MX,XX,,4.0,ivory carvings,,Q,O
900,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,,1.0,ivory carvings,,Q,O
901,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,1.0,1.0,ivory carvings,,T,O
902,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,5.0,ivory carvings,,P,O
903,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,2.0,1.0,ivory carvings,,T,O
904,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CA,XX,1.0,1.0,ivory carvings,,P,O
905,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,53.0,,ivory carvings,,P,O
906,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,151.0,176.0,ivory carvings,,T,O
907,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JE,XX,5.0,,ivory carvings,,T,O
908,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,NO,XX,1.0,2.0,ivory carvings,,T,O
909,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,8.0,8.0,ivory carvings,,Q,O
910,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GG,GB,XX,,1.0,ivory carvings,,T,O
911,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GL,DK,XX,12.0,,ivory carvings,,E,I
912,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,AU,XX,8.0,,ivory carvings,,T,O
913,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,FR,XX,2.0,,ivory carvings,,T,O
914,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,GB,XX,3.0,,ivory carvings,,P,O
915,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,NL,XX,1.0,,ivory carvings,,P,O
916,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,SG,XX,,1.0,ivory carvings,,P,O
917,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,SG,XX,1.0,,ivory carvings,,T,O
918,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HU,XX,,1.0,,ivory carvings,,,I
919,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CA,XX,1.0,1.0,ivory carvings,,Q,O
920,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,1.0,ivory carvings,sets,T,O
921,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,3.0,,ivory carvings,,P,O
922,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,1.0,,ivory carvings,,Q,O
923,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CH,XX,,2.0,ivory carvings,,T,O
924,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,JP,XX,20.0,22.0,ivory carvings,,Q,O
925,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,TR,XX,,1.0,ivory carvings,,Q,O
926,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,TR,,1.0,,ivory carvings,,Q,O
927,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,1.0,,ivory carvings,,E,O
928,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,,2.0,ivory carvings,,Q,O
929,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,,1.0,ivory carvings,sets,T,O
930,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,1.0,,ivory carvings,,T,O
931,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,BE,XX,,1.0,ivory carvings,,T,O
932,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CH,XX,,3.0,ivory carvings,,T,O
933,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CN,XX,16.0,16.0,ivory carvings,pairs,Q,O
934,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,DE,XX,,1.0,ivory carvings,,T,O
935,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,ES,CF,5.0,5.0,ivory carvings,,T,O
936,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,,1.0,ivory carvings,sets,P,O
937,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,,2.0,ivory carvings,sets,T,O
938,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,1.0,1.0,ivory carvings,,Q,O
939,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,3.0,1.0,ivory carvings,,T,O
940,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,GB,XX,1.0,1.0,ivory carvings,,T,O
941,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,KR,XX,2.0,,ivory carvings,pairs,Q,O
942,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,MC,XX,3.0,,ivory carvings,,P,O
943,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,NL,XX,,2.0,ivory carvings,,T,O
944,2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,NZ,XX,10.0,,ivory carvings,pairs,Q,O
